【 図書館資料受取窓口利用状況】,,,,,,,,
種別,詳細,"受取
窓口名","高野台
受取窓口","豊玉
受取窓口","石神井公園駅
受取窓口","大泉学園駅
受取窓口","北町
受取窓口","上石神井
受取窓口"
個人利用登録者数,,人,604,770,3164,4402,876,1129
来館者数,,人,14296,22960,77161,58048,15145,21946
貸出,個人貸出者数,人,16846,27238,81792,68620,16801,26076
貸出,個人貸出点数,点,41739,64581,183174,148813,42134,62483
貸出,一般図書,冊,38366,58029,168213,134623,36348,54355
貸出,雑誌,冊,1543,1897,6132,4773,1245,2196
貸出,CD・カセットテープ・レコード,組,1700,4421,8305,8864,4397,5697
貸出,DVD・ビデオ・その他,組,130,234,524,553,144,235
予約,個人予約点数,点,33953,54710,156834,123607,37657,53014
予約,図書等,冊,31202,48904,143484,110366,32091,45843
予約,雑誌等,冊,1069,1619,4902,3982,1072,1474
予約,CD・DVD・ビデオ等,点,1682,4187,8448,9259,4494,5697
返却点数,,点,44147,74331,228943,161559,44762,66221
開館日数,,日,319,305,319,319,319,319
