名称,住所,延貸出者数,貸出点数,予約点数,返却点数,開設年月
高野台受取窓口,練馬区高野台2-25-1生涯学習センター分館内,12372,27215,26164,31609,2006年2月
豊玉受取窓口,練馬区豊玉上2-22-15豊玉リサイクルセンター内,17624,37260,36636,44235,2011年10月
石神井公園駅受取窓口,練馬区石神井町7-1-2西武池袋線高架下,64112,130157,127900,187085,2014年4月
大泉学園駅受取窓口,練馬区東大泉1-28-1リズモ大泉学園4F,53719,110038,104374,128134,2015年5月
