"選挙名称","時現在","投票者数[人]","投票率[%]"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","8時現在","1518","0.78"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","9時現在","4400","2.27"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","10時現在","8910","4.59"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","11時現在","16149","8.32"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","12時現在","23710","12.22"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","13時現在","30665","15.81"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","14時現在","36711","18.92"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","15時現在","42537","21.93"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","16時現在","48314","24.9"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","17時現在","54534","28.11"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","18時現在","62066","31.99"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","19時現在","69604","35.88"
"平成28年7月10日執行　参議院（選挙区選出）議員選挙","20時終了","102686","52.59"

"平成28年7月10日執行　参議院選挙区選出議員選挙投票状況速報","Ver201607",,
