規模,計,１ｈａ未満,１～５ｈａ,５～２０ｈａ,２０～５０ｈａ,５０～１００ｈａ,１００ｈａ以上
合計所有者数（人）,20169,13600,4803,1342,277,75,72
合計所有面積（ｈａ）,70960,4098,10523,12736,8364,4880,30359
