年,乳牛飼養頭数,乳牛飼養戸数,肉用牛飼養頭数,肉用牛飼養戸数,豚飼養頭数,豚飼養戸数,鶏飼養羽数,鶏飼養戸数,飼養農家総戸数
１９９６（８）,4356,165,1871,90,6044,54,189612,203,512
１９９７（９）,4159,156,1683,88,6033,47,193568,199,490
１９９８（１０）,4002,151,1326,85,5610,42,181555,230,508
１９９９（１１）,3892,144,1269,78,5458,39,181200,227,488
２０００（１２）,3523,130,1289,72,5180,32,181531,236,470
２００１（１３）,3377,121,1246,64,5304,29,162093,199,413
２００２（１４）,3093,108,1114,65,5323,27,181508,199,399
２００３（１５）,2919,101,1183,66,4878,24,162044,230,421
２００４（１６）,2702,97,1051,65,4862,23,165731,245,430
２００５（１７）,2624,92,966,60,4356,21,151868,224,397
２００６（１８）,2620,84,869,53,3960,20,151728,217,374
２００７（１９）,2402,82,921,49,3916,20,151113,219,370
２００８（２０）,2227,72,906,52,3690,17,142547,196,337
２００９（２１）,2192,65,939,53,3656,18,140794,205,341
２０１０（２２）,2022,64,821,45,3491,17,135227,216,342
２０１１（２３）,1816,61,812,40,3295,12,126644,102,215
２０１２（２４）,1847,57,742,39,3079,11,127129,118,225
２０１３（２５）,1731,55,645,39,3087,10,122259,100,204
