年,森林面積（ｈａ）,森林面積国有林林野庁面積（ｈａ）,森林面積民有林面積（ｈａ）,森林面積民有林蓄積（千ｍ3）,森林面積民有林人工林面積（ｈａ）,森林面積民有林人工林蓄積（千ｍ3）,森林面積民有林天然林面積（ｈａ）,森林面積民有林天然林蓄積（千ｍ3）,森林面積民有林その他面積（ｈａ）,森林面積民有林人工林率（％）
１９９８（１０）,78689,7666,71023,11445,33931,7831,35351,3614,1741,47.8
１９９９（１１）,78688,7666,71022,11694,33937,8033,35348,3661,1737,47.8
２０００（１２）,78690,7666,71024,11933,33938,8227,35348,3706,1738,47.8
２００１（１３）,78698,7669,71029,12817,33983,8624,35289,4193,1757,47.8
２００２（１４）,78575,7706,70869,12949,33986,8784,35058,4165,1825,48
２００３（１５）,78649,7706,70943,13162,34293,8994,34844,4168,1806,48.3
２００４（１６）,78649,7706,70943,13529,34293,9176,34844,4353,1806,48.3
２００５（１７）,78649,7706,70943,13746,34298,9348,34839,4398,1806,48.3
２００６（１８）,78539,7706,70833,13935,34291,9515,34738,4420,1804,48.4
２００７（１９）,78666,7706,70960,13718,34136,9431,35073,4287,1754,48.1
２００８（２０）,78666,7706,70960,13905,34136,9580,35073,4325,1754,48.1
２００９（２１）,78666,7706,70960,14086,34136,9726,35070,4360,1754,48.1
２０１０（２２）,78666,7706,70960,14271,34136,9876,35070,4395,1754,48.1
２０１１（２３）,78553,7705,70848,14408,34129,9999,34968,4409,1751,48.2
２０１２（２４）,78566,7705,70862,14696,34141,10219,34968,4477,1752,48.2
２０１３（２５）,78566,7705,70862,14828,34143,10322,34967,4507,1752,48.2
