区分,総数面積（ｈａ),総数蓄積（千ｍ3）,多摩面積（ｈａ),多摩蓄積（千ｍ3）,島しょ面積（ｈａ),島しょ蓄積（千ｍ3）
合計,70960,14271,51801,12158,19159,2113
立木地計（計）,69206,14271,51131,12158,18075,2113
立木地計針葉樹（小計）,34038,10345,31921,9834,2116,511
立木地計針葉樹（スギ）,22156,7547,20693,7191,1463,356
立木地計針葉樹（ヒノキ）,8753,1885,8657,1877,96,8
立木地計針葉樹（マツ）,1354,356,799,210,555,146
立木地計針葉樹（その他）,1774,557,1772,556,2,1
立木地計広葉樹（小計）,35168,3926,19209,2324,15959,1602
立木地計広葉樹（クヌギ）,57,6,43,5,14,1
立木地計広葉樹（その他）,35111,3920,19166,2319,15944,1601
立木地人工林（計）,34136,9876,30684,9324,3452,552
立木地人工林針葉樹（小計）,32230,9721,30390,9290,1841,431
立木地人工林針葉樹（スギ）,22079,7519,20640,7170,1439,349
立木地人工林針葉樹（ヒノキ）,8718,1877,8622,1868,96,9
立木地人工林針葉樹（マツ）,427,106,123,33,304,73
立木地人工林針葉樹（その他）,1006,219,1005,219,1,0
立木地人工林広葉樹（小計）,1905,155,294,34,1611,121
立木地人工林広葉樹（クヌギ）,17,1,4,0,14,1
立木地人工林広葉樹（その他）,1888,154,290,34,1598,120
立木地天然林（計）,35070,4395,20447,2833,14623,1562
立木地天然林針葉樹（小計）,1807,624,1532,544,275,80
立木地天然林針葉樹（スギ）,77,28,53,20,24,8
立木地天然林針葉樹（ヒノキ）,35,8,35,8,0,0
立木地天然林針葉樹（マツ）,927,250,676,178,251,72
立木地天然林針葉樹（その他）,768,338,767,338,1,0
立木地天然林広葉樹（小計）,33263,3771,18916,2289,14347,1482
立木地天然林広葉樹（クヌギ）,40,5,40,5,0,0
立木地天然林広葉樹（その他）,33223,3766,18876,2284,14347,1482
竹林,138,-,53,-,85,-
無立木地計,1616,-,617,-,999,-
無立木地伐採跡地,149,-,119,-,30,-
無立木地末立木地,1467,-,498,-,969,-
