年,漁業経営体,漁業個人,漁業団体,漁業非使用,無動力船,動力船,動力船５ｔ未満,動力船５ｔ以上,定置網及び海面養殖,漁業就業者
１９９１（３）,1069,1012,57,93,16,952,665,287,8,1640
１９９２（４）,1044,996,48,87,16,933,663,270,8,1600
１９９３（５）,1159,1123,36,75,23,1053,773,280,8,1646
１９９４（６）,1047,1013,34,61,20,958,686,272,8,1550
１９９５（７）,986,952,34,81,-,899,629,270,6,1420
１９９６（８）,954,920,34,87,-,861,597,264,6,1360
１９９７（９）,880,850,30,68,-,806,541,265,6,1200
１９９８（１０）,1037,1013,24,51,20,961,661,300,5,1479
１９９９（１１）,877,851,26,108,0,763,512,251,6,1310
２０００（１２）,819,795,24,112,0,702,470,232,5,1230
２００１（１３）,710,687,23,79,0,625,400,225,6,1030
２００２（１４）,738,705,33,66,7,660,433,227,5,990
２００３（１５）,804,784,20,20,16,762,504,258,6,1156
２００４（１６）,765,730,35,91,6,663,424,239,5,-
２００５（１７）,762,725,37,89,7,659,416,243,7,-
２００６（１８）,767,724,43,89,7,664,422,242,7,-
２００７（１９）,-,-,-,-,-,-,-,-,-,-
２００８（２０）,669,654,15,43,3,616,339,277,7,-
