計画区＼区分,総計（ｈａ）,国有林林野庁（ｈａ）,民有林民有林計（ｈａ）,民有林公有林計（ｈａ）,民有林公有林計都有林（ｈａ）,民有林公有林計市町村有林（ｈａ）,民有林公有林計財産区有林（ｈａ）,民有林私有林（ｈａ）,,,,,,
総計,78666,7706,70960,21022,11599,7692,1670,49938,,,,,,
多摩,52984,1183,51801,12635,10472,1823,216,39166,,,,,,
多摩川,27950,-,27950,8954,8242,653,-,18996,,,,,,
秋川,16091,-,16091,2553,1385,867,216,13558,,,,,,
浅川,8943,1183,7760,1148,845,303,-,6612,,,,,,
伊豆諸島,25682,6522,19159,8387,1127,5806,1454,10772,,,,,,
