データセット_ID,全国地方公共団体コード,地方公共団体名,データセット_タイトル,データセット_サブタイトル,データセット_概要,データセット_キーワード,データセット_分類,データセット_ユニバーサルメニュー,データセット_公開日,データセット_最終更新日,データセット_バージョン,データセット_言語,データセット_URL,データセット_更新頻度,データセット_準拠する標準,データセット_関連ドキュメント,データセット_来歴情報,データセット_対象地域,データセット_対象期間,データセット_連絡先名称,データセット_連絡先メールアドレス,データセット_連絡先電話番号,データセット_連絡先内線番号,データセット_連絡先FormURL,データセット_連絡先備考（その他、SNSなど）,データセット_備考,ファイル_タイトル,ファイル_アクセスURL,ファイル_ダウンロードURL,ファイル_説明,ファイル形式,ファイル_ライセンス,ファイル_ステータス,ファイル_サイズ,ファイル_公開日,ファイル_最終更新日,ファイル_利用規約,ファイル_関連ドキュメント,ファイル_言語,ファイル_準拠する標準,ファイル_API対応有無
0000000001,131202,東京都練馬区,世帯と人口（総括表）,,毎月1日現在の男女別総人口と世帯数を掲載しています。,統計,統計・区政情報,,2016/11/30,2024/09/12,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/soukatuhyou.html,毎月,,,,東京都練馬区,,区民部戸籍住民課,,,,,,,,,,,csv,CC-BY,配信中,,2016/11/30,2024/09/12,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000002,131202,東京都練馬区,世帯と人口（町丁目別）,,毎月1日現在の男女別人口と世帯数を、町丁目別に掲載しています。,統計,統計・区政情報,,2016/11/30,2024/09/12,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/chouchoubetu.html,毎月,,,,東京都練馬区,,区民部戸籍住民課,,,,,,,,,,,csv,CC-BY,配信中,,2016/11/30,2024/09/12,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000003,131202,東京都練馬区,世帯と人口（町丁目別・年齢別）,,"毎月1日現在の男女別人口を、町丁目別・年齢別に掲載しています。
※平成29年4月分から、データの更新頻度を年に一度（毎年1月1日時点）から月に一度（毎月1日時点）に変更しました。",統計,統計・区政情報,,2016/11/30,2024/09/12,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/chouchou_nenreibetu.html,毎月,,,,東京都練馬区,,区民部戸籍住民課,,,,,,,,,,,csv,CC-BY,配信中,,2016/11/30,2024/09/12,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000004,131202,東京都練馬区,世帯と人口（年齢別）,,"毎月1日現在の男女別人口を、年齢別に掲載しています。
※平成29年4月分から、データの更新頻度を年に一度（毎年1月1日時点）から月に一度（毎月1日時点）に変更しました。",統計,統計・区政情報,,2016/11/30,2024/09/12,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/nenreibetu.html,毎月,,,,東京都練馬区,,区民部戸籍住民課,,,,,,,,,,,csv,CC-BY,配信中,,2016/11/30,2024/09/12,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000005,131202,東京都練馬区,土地面積（町丁目別）,,練馬区統計書に掲載の町丁目別の土地面積一覧表です。,統計,統計・区政情報,,2016/11/30,2016/11/30,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/tochimenseki.html,随時,,,,東京都練馬区,,区民部戸籍住民課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2016/11/30,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000006,131202,東京都練馬区,予算　当初予算各会計予算規模,,"練馬区の当初予算額をオープンデータとして提供しています。
※金額は千円単位です。
※重複控除額は、各会計相互間の重複額です。",財政,統計・区政情報,,2016/11/30,2024/03/14,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/yosankibo.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/14,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000007,131202,東京都練馬区,予算　一般会計性質別経費内訳,,"練馬区の一般会計当初予算の性質別経費内訳をオープンデータとして提供しています。
※金額は千円単位です。
※構成比は四捨五入のため、各欄の合計と合計欄が一致しない場合があります。",財政,統計・区政情報,,2016/11/30,2024/03/14,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/keihiuchiwake.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/14,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000008,131202,東京都練馬区,予算　一般会計歳入歳出予算款別一覧表（歳入・歳出）,,"練馬区の一般会計当初予算の歳入歳出予算款別一覧表をオープンデータとして提供しています。
※金額は千円単位です。
※構成比は四捨五入のため、各欄の合計と合計欄が一致しない場合があります。
※組織改正に伴い、24年度から「産業地域振興費」は「産業経済費」と「地域文化費」に、「児童青少年費」は「こども家庭費」に変更しました。
※平成24年度の表中、前年度予算額欄の（　）書の数値は、款の廃止および新設等によって本年度の予算額が大幅に変更した場合でも、同じ条件で前年度予算額との比較ができるよう、前年度を修正した予算額を表示しています。",財政,統計・区政情報,,2016/11/30,2024/03/21,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/kanbetu.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/21,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000009,131202,東京都練馬区,決算　一般会計（歳入）,,"練馬区の一般会計の歳入決算額をオープンデータとして提供しています。
※金額は千円単位です。
※構成比は四捨五入のため、各欄の合計と合計欄が一致しない場合があります。",財政,統計・区政情報,,2016/11/30,2024/03/14,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/ippankaikei_graf1.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/14,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000010,131202,東京都練馬区,決算　一般会計（歳出・性質別）,,"練馬区の一般会計の歳出決算額（性質別）をオープンデータとして提供しています。
※金額は千円単位です。
※構成比は四捨五入のため、各欄の合計と合計欄が一致しない場合があります。",財政,統計・区政情報,,2016/11/30,2024/03/14,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/ippankaikei_graf2.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/14,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000011,131202,東京都練馬区,決算　一般会計（歳出・目的別）,,"練馬区の一般会計の歳出決算額（目的別）をオープンデータとして提供しています。
※金額は千円単位です。
※構成比は四捨五入のため、各欄の合計と合計欄が一致しない場合があります。",財政,統計・区政情報,,2016/11/30,2024/03/14,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/ippankaikei_graf3.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/14,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000012,131202,東京都練馬区,決算　特別会計（歳入・歳出）,,"練馬区の特別会計の歳入・歳出決算額をオープンデータとして提供しています。
※金額は千円単位です。",財政,統計・区政情報,,2016/11/30,2024/03/14,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/tokubetukaikei.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/14,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000013,131202,東京都練馬区,財政健全化判断比率算定結果,,"練馬区の財政健全化判断比率をオープンデータとして提供しています。
※算定比率は、算定により求められた実際の数値です。
※実質赤字比率及び連結実質赤字比率が「-」となっているのは、いずれも黒字のためです。
※将来負担比率が「-」となっているのは、将来負担額よりも充当可能財源（基金など将来負担額に充てることができる財源）が多いためです。
※表中の下段に記載されている早期健全化基準は、上段の各指標の数値が基準値を超えた場合、健全化法に基づく財政健全化計画の策定を行わなければならないとされている数値です。さらに別に、財政再生基準があり、その基準値を超えた場合には、財政再生計画を策定しなければならないとされています。",財政,統計・区政情報,,2016/11/30,2024/03/14,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/kenzenka.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/14,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000014,131202,東京都練馬区,貸借対照表（概略版）,,"練馬区の貸借対照表の概略版をオープンデータとして提供しています。
※金額は千円単位です。
※27年度以前は国の「基準モデル」、28年度以降は「統一的な基準」で作成しています。",財政,統計・区政情報,,2016/11/30,2024/03/14,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/bs.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/14,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000015,131202,東京都練馬区,行政コスト計算書（概略版）,,"練馬区の行政コスト計算書の概略版をオープンデータとして提供しています。
※金額は千円単位です。
※構成比は四捨五入のため、各欄の合計と合計欄が一致しない場合があります。
※27年度以前は国の「基準モデル」、28年度以降は「統一的な基準」で作成しています。",財政,統計・区政情報,,2016/11/30,2024/03/14,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/pl.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/14,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000016,131202,東京都練馬区,純資産変動計算書（概略版）,,"練馬区の純資産変動計算書の概略版をオープンデータとして提供しています。
※金額は千円単位です。
※27年度以前は国の「基準モデル」、28年度以降は「統一的な基準」で作成しています。",財政,統計・区政情報,,2016/11/30,2024/03/14,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/nwm.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/14,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
0000000017,131202,東京都練馬区,資金収支計算書（概略版）,,"練馬区の資金収支計算書の概略版をオープンデータとして提供しています。
※金額は千円単位です。
※27年度以前は国の「基準モデル」、28年度以降は「統一的な基準」で作成しています。",財政,統計・区政情報,,2016/11/30,2024/03/14,,ja,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/tokei_kusei/cf.html,毎年,,,,東京都練馬区,,企画部財政課,,,,,,,,,,,xlsx,CC-BY,配信中,,2016/11/30,2024/03/14,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/index.files/riyoukiyaku.pdf,,ja,,無
