執行年月日_西暦,執行年月日_和暦,曜日,天候,選挙種別,当日有権者数（男）（人）,当日有権者数（女）（人）,当日有権者数（総計）（人）,投票者数（男）（人）,投票者数（女）（人）,投票者数（総計）（人）,投票率（男）（％）,投票（女）率（％）,投票率（総計）（％）,備考
1947-04-30,昭和22年4月30日,木曜日,曇のち晴,東京都議会議員,"52,832","48,039","100,871","30,033","25,048","55,081",56.85%,52.14%,54.61%,
1951-04-30,昭和26年4月30日,月曜日,小雨のち曇のち晴,東京都議会議員,"66,093","63,996","130,089","40,210","36,373","76,583",60.84%,56.84%,58.87%,
1955-04-23,昭和30年4月23日,土曜日,晴のち曇,東京都議会議員,"78,545","75,747","154,292","42,793","38,380","81,173",54.48%,50.67%,52.61%,
1959-04-23,昭和34年4月23日,木曜日,雨のち曇,東京都議会議員,"86,133","82,090","168,223","56,120","53,604","109,724",65.16%,65.30%,65.23%,
1963-04-17,昭和38年4月17日,水曜日,晴,東京都議会議員,"96,604","93,048","189,652","63,656","63,593","127,249",65.89%,68.34%,67.10%,
1965-07-23,昭和40年7月23日,金曜日,雨のち曇,東京都議会議員,"96,181","93,727","189,908","54,316","55,367","109,683",56.47%,59.07%,57.76%,
1969-07-13,昭和44年7月13日,日曜日,曇,東京都議会議員,"110,709","107,876","218,585","59,503","63,125","122,628",53.75%,58.52%,56.10%,
1973-07-08,昭和48年7月8日,日曜日,晴,東京都議会議員,"100,577","105,540","206,117","59,418","63,716","123,134",59.08%,60.37%,59.74%,
1977-07-10,昭和52年7月10日,日曜日,晴,東京都議会議員,"95,108","102,708","197,816","60,283","65,371","125,654",63.38%,63.65%,63.52%,
1981-07-05,昭和56年7月5日,日曜日,曇,東京都議会議員,"94,726","102,924","197,650","47,653","54,539","102,192",50.31%,52.99%,51.70%,
1985-07-07,昭和60年7月7日,日曜日,曇,東京都議会議員,"96,578","104,659","201,237","46,683","54,944","101,627",48.34%,52.50%,50.50%,
1989-07-02,平成1年7月2日,日曜日,曇,東京都議会議員,"93,809","102,141","195,950","49,753","57,398","107,151",53.04%,56.19%,54.68%,
1993-06-27,平成5年6月27日,日曜日,晴,東京都議会議員,"91,632","102,771","194,403","46,624","53,841","100,465",50.88%,52.39%,51.68%,
1997-07-06,平成9年7月6日,日曜日,晴,東京都議会議員,"92,581","105,714","198,295","37,448","43,919","81,367",40.45%,41.55%,41.03%,
2001-06-24,平成13年6月24日,日曜日,晴,東京都議会議員,"95,455","109,475","204,930","46,491","54,740","101,231",48.70%,50.00%,49.40%,
2005-07-03,平成17年7月3日,日曜日,曇のち雨,東京都議会議員,"97,790","113,002","210,792","38,749","45,053","83,802",39.62%,39.87%,39.76%,
2009-07-12,平成21年7月12日,日曜日,晴,東京都議会議員,"100,133","116,569","216,702","53,273","59,948","113,221",53.20%,51.43%,52.25%,
2013-06-23,平成25年6月23日,日曜日,晴,東京都議会議員,"101,846","118,207","220,053","42,470","47,811","90,281",41.70%,40.45%,41.03%,
2017-07-02,平成29年7月2日,日曜日,晴,東京都議会議員,"106,419","122,900","229,319","53,963","61,528","115,491",50.71%,50.06%,50.36%,
2021-07-04,令和3年7月4日,日曜日,雨,東京都議会議員,"107,698","124,732","232,430","46,478","53,533","100,011",43.16%,42.92%,43.03%,
