消防署,警報設備・自動火災報知設備・対象物数,警報設備・自動火災報知設備・設備数,警報設備・ガス漏れ火災警報設備・対象物数,警報設備・ガス漏れ火災警報設備・設備数,警報設備・漏電火災警報器・対象物数,警報設備・漏電火災警報器・設備数,警報設備・消防機関へ通報する火災通報装置・対象物数,警報設備・消防機関へ通報する火災通報装置・設備数,警報設備・非常ベル・自動式サイレン対象物数,警報設備・非常ベル・自動式サイレン設備数,警報設備・放送設備・対象物数,警報設備・放送設備・設備数,避難設備・救助袋・対象物数,避難設備・救助袋・設備数,避難設備・緩降機・対象物数,避難設備・緩降機・設備数,避難設備・避難はしご・対象物数,避難設備・避難はしご・設備数,避難設備・誘導灯・対象物数
平成29年度,"220,401","305,435","5,060","7,963","20,561","23,282","9,781","7,599","62,115","92,708","26,242","27,484","4,793","10,113","27,126","43,989","167,766","441,177","171,836"
平成30年度,"224,250","278,742","5,168","6,820","20,361","20,269","10,423","8,182","62,268","91,796","26,726","24,176","4,871","10,023","27,507","42,563","172,416","417,697","177,370"
令和元年度,"227,830","200,466","5,265","5,037","20,230","19,681","10,882","8,600","62,366","81,325","27,178","22,829","4,953","8,483","27,846","35,606","176,163","226,867","181,850"
令和2年度,"230,268","205,505","5,339","4,943","20,030","20,322","11,217","8,903","62,376","78,561","27,540","22,959","5,001","8,134","28,131","33,293","179,631","212,665","185,175"
令和3年度,"233,120","209,996","5,435","4,833","19,847","20,008","11,473","9,169","62,437","76,353","27,823","23,525","5,059","7,877","28,538","32,257","183,700","206,206","188,875"
特別区,173283,159662,4373,3786,12679,12164,7872,6221,45768,56932,21067,18137,3813,5991,25175,28127,149633,164606,148651
丸の内,337,383,105,106,8,9,40,31,48,49,186,191,21,67,39,112,62,126,374
麹町,"1,807","1,959",168,144,9,11,84,59,327,565,504,530,68,152,324,597,"1,046","2,018","1,889"
神田,"3,634","3,580",105,72,18,20,95,93,961,1002,697,599,77,96,1182,"1,252","2,746","2,108","4,294"
京橋,"3,029","2,985",190,156,12,18,93,75,526,668,808,679,59,117,767,"1,543","2,206","3,136","3,332"
日本橋,3056,"3,023",110,110,17,19,113,96,625,790,603,554,92,274,748,1673,2215,"2,671",3348
臨港,666,"1,633",46,43,5,5,22,19,98,186,132,136,21,23,82,114,481,"1,746",591
芝,"3,475","3,454",292,196,20,16,151,121,646,798,877,750,87,146,837,816,"2,490","4,072","3,728"
麻布,"2,351","2,289",97,81,29,27,130,74,524,750,410,331,37,43,465,501,"1,881","1,965","2,575"
赤坂,"2,162","2,092",120,113,17,17,83,76,346,382,397,381,42,89,459,803,"1,422","2,508","2,335"
高輪,"1,528","1,621",85,97,37,40,89,56,261,356,327,255,40,61,218,292,"1,140","1,072","1,386"
品川,"2,918","2,549",103,87,79,82,139,108,542,606,471,374,55,80,406,443,"1,620","1,228","2,616"
大井,"1,866","1,678",51,32,128,128,97,68,431,652,194,168,32,44,216,256,"1,528","1,845","1,600"
荏原,"2,052","1,756",21,18,210,208,74,37,600,763,184,151,38,46,415,255,"2,971","2,366","2,064"
大森,"3,963","3,731",68,67,330,332,160,117,894,"1,272",294,278,75,159,415,551,"3,410","5,624","3,153"
田園調布,"2,796","2,333",27,19,251,246,118,107,788,825,161,149,60,65,313,157,"2,469","1,108","2,076"
蒲田,"3,031","2,576",63,61,166,150,161,126,834,818,278,248,46,93,308,261,"2,973","1,826","2,549"
矢口,"1,908","1,676",30,23,205,187,80,64,599,631,162,143,42,74,280,222,"2,177","1,846","1,701"
目黒,"5,080","4,370",150,167,405,404,152,138,"1,307","1,746",459,412,98,168,705,703,"5,121","5,073","4,761"
世田谷,"6,865","5,761",141,159,858,825,218,167,"1,902","2,867",565,512,129,191,662,812,"6,253","10,744","5,408"
玉川,"3,636","4,247",83,88,374,380,162,147,991,"1,249",292,222,87,93,400,328,"3,273","3,671","2,774"
成城,"3,536","2,974",45,37,218,198,253,223,946,943,305,262,99,129,278,253,"2,402","2,363","2,200"
渋谷,"8,070","7,559",322,295,147,149,226,164,1929,3181,1155,1020,165,315,1851,2802,"6,557","11,020","8,470"
四谷,"1,963","1,862",84,71,39,37,57,55,467,350,328,303,39,34,468,329,"1,610",887,"2,085"
牛込,"2,465","2,293",75,25,63,58,95,80,748,408,316,230,42,32,522,179,"2,586",701,"2,601"
新宿,"5,259","4,930",175,178,252,240,275,241,1229,"1,992",890,836,98,213,964,1764,"4,148","7,454","4,757"
中野,"2,842","2,611",81,80,273,267,96,83,918,926,241,205,47,52,571,273,"3,644","1,915","2,572"
野方,"2,345","1,775",26,18,612,566,121,103,704,601,101,77,41,47,272,147,"2,725","1,504","1,661"
杉並,"4,591","3,866",83,75,1179,1149,213,173,"1,409","1,905",337,278,90,162,510,602,"4,879","6,119","3,745"
荻窪,"3,510","2,763",47,39,892,816,192,157,1072,"1,807",257,193,67,101,377,401,"2,956","2,986","2,607"
小石川,"2,420","2,186",85,76,64,62,81,65,584,1015,362,320,51,73,508,452,"2,512","2,303","2,187"
本郷,"2,479","2,249",83,76,92,94,101,74,711,923,392,313,55,111,444,500,"2,187","1,755","2,345"
豊島,"3,375","3,020",94,79,115,113,167,101,874,744,534,421,75,112,778,837,"3,193","2,001","3,238"
池袋,"2,854","2,504",67,69,267,259,184,98,747,955,316,254,47,52,544,542,"3,306","3,753","2,484"
王子,"1,616","1,414",32,27,141,149,80,53,438,699,211,189,55,92,240,251,"1,597","1,870","1,373"
赤羽,"1,976","2,253",44,39,101,94,83,67,573,835,255,613,46,72,223,280,"1,784","2,853","1,499"
滝野川,"1,486","1,343",30,18,158,160,49,40,466,707,163,134,43,58,264,222,"1,810","2,098","1,340"
板橋,"3,077","2,525",53,17,279,243,124,104,"1,174",871,287,224,87,74,480,212,"3,634","1,260","2,667"
志村,"5,290","4,918",77,66,664,631,282,223,"1,705","2,128",558,408,117,219,430,529,"3,958","4,322","3,869"
練馬,"3,632","2,908",25,26,302,304,159,128,1170,1415,246,197,86,128,356,284,"3,261","2,401","2,504"
光が丘,"1,954","1,591",23,16,223,212,96,81,636,778,218,131,64,88,158,154,"1,426","1,810","1,259"
石神井,"3,470","2,772",53,22,539,510,261,187,1339,"1,371",318,228,93,105,225,197,"2,843","2,860","2,352"
上野,"3,132","2,795",70,57,82,81,158,105,839,"1,337",555,420,52,114,716,887,"2,621","3,135","3,319"
浅草,"2,067","1,943",16,5,22,18,67,60,538,319,228,171,21,13,544,252,"1,744",875,"2,259"
日本堤,"1,804","1,725",26,26,97,97,151,135,340,547,198,190,22,34,321,247,"1,506","1,264","1,777"
荒川,2116,"1,911",50,33,147,161,110,92,640,656,242,160,59,75,313,254,1951,"1,676",1938
尾久,"1,036",875,19,8,105,98,65,56,299,225,85,57,36,34,117,41,"1,113",218,981
千住,"1,478","1,839",16,12,97,106,63,53,363,571,186,138,35,54,175,214,"1,390","3,761","1,230"
足立,"5,526","4,300",48,42,309,306,296,216,1856,"1,864",457,361,155,248,324,327,"4,261","6,137","3,362"
西新井,"3,158","2,606",55,36,289,255,191,154,814,812,306,251,84,120,131,96,"2,203","1,502","2,296"
本所,"3,997","3,506",50,45,68,64,161,131,1009,1115,469,304,58,115,662,583,"3,836","3,188","3,369"
向島,"1,648","1,818",27,20,82,85,92,80,386,685,176,131,50,72,127,93,"1,360","1,155","1,354"
深川,"4,140","5,301",150,195,42,48,175,156,923,"1,954",556,773,89,138,504,858,"2,929","8,029","3,537"
城東,"3,372","2,960",52,38,85,81,144,115,650,"1,068",545,323,72,140,316,284,"2,017","1,917","2,684"
本田,"3,664","3,321",37,10,415,351,173,157,1198,853,277,175,102,98,290,155,"3,373",1032,"2,961"
金町,"2,285","2,200",20,17,267,276,140,112,771,1044,201,167,61,86,188,262,"1,776","2,773","1,534"
江戸川,"2,931","2,609",23,16,173,121,130,109,613,539,237,174,70,107,242,202,"2,046","1,672","1,914"
葛西,"3,808","3,478",36,29,267,272,154,102,852,1228,345,276,58,114,279,287,"2,722","3,503","1,987"
小岩,"2,751","2,463",19,9,334,309,146,109,588,586,213,167,76,79,222,184,"2,283","1,781","1,780"
受託地区,"59,837","50,334",1062,1047,7168,7844,3601,2948,"16,669","19,421",6756,5388,1246,1886,3363,4130,"34,067","41,600","40,224"
立川,"4,406","3,866",88,86,217,218,267,227,1354,1855,573,529,93,110,442,601,"2,880","4,626","3,220"
武蔵野,"2,634","3,313",62,63,339,1320,108,91,748,813,325,275,55,78,319,455,"2,011","2,288","2,118"
三鷹,"2,755","2,422",56,61,778,743,159,131,711,"1,095",248,218,68,113,108,129,"1,902","2,147","1,710"
府中,"3,865","3,066",109,96,327,319,218,140,898,1010,380,284,93,139,242,293,2344,"3,290","2,275"
昭島,"1,570","1,295",28,37,129,127,108,64,453,586,203,173,18,23,76,89,882,"1,392","1,155"
調布,"3,333","2,782",62,63,497,498,153,123,962,1002,301,231,63,86,177,170,2217,"2,172",2176
小金井,"1,657","1,359",23,21,341,321,82,62,450,554,146,130,47,74,97,101,1009,"1,143",1016
小平,"2,576","1,911",47,36,424,420,163,130,880,"1,091",341,267,90,160,127,149,"1,540","2,006","1,782"
東村山,"1,876","1,453",48,51,206,196,143,107,646,815,243,189,16,23,92,141,"1,108","1,729",1360
国分寺,1639,1198,25,13,252,211,100,77,422,274,124,89,47,39,144,73,1132,342,1111
狛江,"1,019",797,17,18,400,392,56,48,253,358,79,64,20,43,37,37,655,608,596
北多摩西部,"2,100",1814,28,23,217,218,105,93,680,681,268,256,27,34,49,48,950,735,1562
清瀬,"1,094",645,27,20,157,149,100,68,307,360,115,80,20,37,48,47,546,593,607
東久留米,"1,436","1,207",28,25,247,238,114,106,368,449,156,144,27,30,54,32,799,342,897
西東京,"2,480","2,067",43,78,395,357,140,113,757,810,228,148,70,82,125,107,"1,814","1,060","1,634"
八王子,"8,526","7,576",142,129,558,564,569,457,2225,3118,1167,842,151,269,493,656,4693,"7,171","5,872"
青梅,"2,266","1,813",23,24,323,302,137,126,571,432,221,173,49,94,79,98,852,"1,236","1,644"
町田,"5,310","4,340",74,107,445,446,366,336,1559,"1,310",633,542,124,173,305,472,"2,418","3,871","3,651"
日野,"2,566","2,105",29,17,455,363,170,145,658,707,240,158,35,46,118,105,"1,477","1,182","1,506"
福生,"2,665","2,338",25,20,159,157,110,104,790,1112,215,193,51,90,79,110,"1,180","1,873","2,002"
多摩,"2,465","1,525",64,50,160,145,85,68,722,736,371,255,59,112,128,185,1305,1213,1181
秋川,1302,1172,12,9,115,114,132,118,232,232,166,140,21,29,22,31,342,576,1011
奥多摩,297,270,2,0,27,26,16,14,23,21,13,8,2,2,2,1,11,5,138
