年齢別,ころぶ（人）,落ちる（人）,ぶつかる（人）,ものがつまる等（人）,切る・刺さる（人）,はさむ・はさまれる（人）,やけど（人）,かまれる・刺される（人）,おぼれる（人）
0-4歳,1911,2147,788,1117,151,255,352,40,23
5-9歳,1134,724,642,147,114,98,82,39,3
10-14歳,788,271,519,39,97,22,34,29,4
15-19歳,494,189,513,26,150,34,28,21,4
20-24歳,877,398,448,48,337,80,77,47,2
25-29歳,822,338,281,63,337,68,57,39,2
30-34歳,723,298,235,55,282,75,51,37,1
35-39歳,765,313,224,40,237,68,42,43,1
40-44歳,1080,365,235,48,229,95,56,45,2
45-49歳,1420,454,243,75,246,109,34,53,2
50-54歳,1996,645,253,72,251,113,56,60,4
55-59歳,2528,702,251,82,202,88,36,53,6
60-64歳,2873,650,214,87,142,63,30,37,12
65-69歳,3468,681,199,109,127,52,27,38,20
70-74歳,6438,1083,225,200,142,67,44,59,52
75-79歳,7922,1092,222,228,102,40,32,56,65
80-84歳,11256,1168,258,338,61,51,39,32,95
85-89歳,13349,1156,221,400,49,33,36,25,95
90-94歳,8208,683,112,238,22,28,11,11,64
95-99歳,2637,227,39,107,2,7,5,4,9
100-104歳,380,34,4,12,,1,,1,5
105-109歳,17,3,,,,,,,
