年,2017,2018,2019,2020,2021,全国（2020 )
出場件数(件),785184,818062,825929,720965,743703,6639767
1日平均件数(件),2151,2241,2263,1970,2038,18191
出場頻度(秒),40,39,38,44,42,4.7
