区分,ポンプ車,化学車,特殊災害対策車,はしご車,空中作業車,屈折放水塔車,救急車,救助車,ホース延長車,送水車,10t水槽車,救援車,指揮統制車,救出救助車,水難救助車,山岳救助車,照明電源車,指揮隊車,補給車,資材搬送車,工作車,方面警防車,査察広報車,貨物車,人員輸送車,司令車,指揮車,消防艇,消防活動二輪車,その他車両
平成29年,"402,086","30,537",884,"36,789","1,271",303,"830,782","15,733",77,107,237,105,92,47,539,593,229,"45,939",203,379,375,912,"47,814",766,"5,398",397,"1,167","1,188","3,467","1,270"
平成30年,"402,355","30,653","1,000","36,935","1,260",217,"866,909","16,324",61,97,213,86,87,60,640,520,273,"45,594",210,401,282,813,"48,842",814,"5,260",386,870,"1,534","3,188","1,236"
令和元年,"413,810","31,775",985,"36,734","1,267",166,"889,944","17,103",51,68,195,85,147,99,531,333,282,"47,745",198,374,314,825,"45,822",830,"5,091",352,914,"1,566","3,425","1,261"
令和2年,"349,106","27,081","1,027","35,665","1,231",169,"791,033","16,492",71,71,130,141,281,287,532,327,353,"42,746",195,343,241,667,"33,944",486,"3,236",527,563,"1,322","2,731","1,766"
令和3年,"344,577","27,573",875,"35,031","1,134",149,"806,350","17,342",76,76,163,231,315,272,484,370,321,"43,154",202,365,203,706,"34,295",455,"3,766","1,019",223,"1,209","2,811","1,287"
総走行距離(km),"1,879,651","150,088","17,071","125,269","5,596","3,542","8,186,741","156,199","1,557","1,558","4,753","7,759","15,300","8,563","11,950","10,699","4,822","278,660","4,841","8,379","6,335","16,614","755,011","17,400","105,658","22,451","4,248","16,290","34,779","30,458"
災害出場回数,"171,423","16,439",545,"2,241",79,4,"742,210","11,649",-,-,20,31,129,75,214,290,123,"27,414",159,101,19,58,"2,970",19,257,214,-,493,510,424
火災出場回数,"17,830","1,224",22,"2,072",60,3,149,"1,931",-,-,12,26,84,20,-,-,25,"3,916",130,73,-,55,990,2,96,198,-,115,18,8
火災出場回数_附属装置の使用_出場回数,"3,545",324,-,92,4,-,44,39,-,-,5,9,8,-,-,-,18,139,7,10,-,13,220,-,11,27,-,1,-,-
火災出場回数_附属装置の使用_走行距離(km),"18,986","1,698",-,584,17,-,73,263,-,-,153,468,312,-,-,-,348,782,185,150,-,290,"3,816",-,35,688,-,2,-,-
火災出場回数_附属装置の使用_附属装置運用時間_ポンプ運用(時間：分）,4123:56,427:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の使用_附属装置運用時間_はしご架梯(時間：分）,-,-,-,68:32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の使用_附属装置運用時間_塔体運用(時間：分）,-,-,-,-,4:10,-,-,-,-,-,-,-,-,-,-,-,36:05,-,-,-,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の使用_附属装置運用時間_照明作業(時間：分）,-,-,-,-,-,-,-,35:06,-,-,-,-,-,-,-,-,36:53,-,-,-,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の使用_附属装置運用時間_無線開局(時間：分）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の使用_附属装置運用時間_救援作業(時間：分）,-,-,-,-,-,-,-,5:35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の使用_附属装置運用時間_その他(時間：分）,-,-,-,-,-,-,-,-,-,-,-,1:40,-,-,-,-,-,-,-,1:30,-,-,-,-,-,-,-,-,-,-
火災出場回数_附属装置の未使用_出場回数,"14,285",900,22,"1,980",56,3,105,"1,892",-,-,7,17,76,20,-,-,7,"3,777",123,63,-,42,770,2,85,171,-,114,18,8
火災出場回数_附属装置の未使用_走行距離(km),"95,990","5,696",481,"12,654",268,20,672,"17,803",-,-,181,"1,543","4,525","1,490",-,-,180,"24,791","2,573","1,473",-,787,"14,347",58,"1,092","2,458",-,914,374,217
火災以外の出場回数,"153,593","15,215",523,169,19,1,"742,061","9,718",-,-,8,5,45,55,214,290,98,"23,498",29,28,19,3,"1,980",17,161,16,-,378,492,416
火災以外の出場回数_附属装置の使用_出場回数,837,70,21,34,1,-,64,70,-,-,2,1,-,3,3,1,17,452,2,1,13,-,77,7,8,4,-,19,6,8
火災以外の出場回数_附属装置の使用_走行距離(km),"3,297",331,233,143,1,-,630,838,-,-,176,30,-,44,42,56,278,"2,421",39,3,457,-,705,841,141,257,-,450,61,104
火災以外の出場回数_附属装置の使用_附属装置運用時間_ポンプ運用(時間：分）,172:08,19:27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_はしご架梯(時間：分）,-,-,-,17:56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_塔体運用(時間：分）,1:00,-,-,-,1:00,-,-,-,-,-,-,-,-,-,-,-,7:00,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_照明作業(時間：分）,-,-,-,-,-,-,-,30:29,-,-,-,-,-,-,-,-,17:22,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_無線開局(時間：分）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_救援作業(時間：分）,-,-,-,-,-,-,-,10:05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_その他(時間：分）,-,0:30,1:37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0:30,-,-,-,-,-,-,-,-,"2,935"
火災以外の出場回数_附属装置の未使用_出場回数,"152,756","15,145",502,135,18,1,"741,997","9,648",-,-,6,4,45,52,211,289,81,"23,046",27,27,6,3,"1,903",10,153,12,-,359,486,408
火災以外の出場回数_附属装置の未使用_走行距離(km),"502,976","55,516","7,114",874,53,26,"7,769,745","79,566",-,-,285,223,"2,352","1,289","4,934","7,591","1,321","122,470",903,"1,052",332,92,"20,683",376,"4,911",403,-,"5,772","9,018","1,777"
その他の回数,"173,154","11,134",330,"32,790","1,055",145,"64,140","5,693",76,76,143,200,186,197,270,80,198,"15,740",43,264,184,648,"31,325",436,"3,509",805,223,716,"2,301",863
その他の回数_非火災_出場回数,"23,743","1,769",8,"3,348",84,-,90,"2,136",-,-,-,-,2,-,-,-,2,"3,210",1,1,-,22,586,1,12,380,-,68,5,6
その他の回数_非火災_走行距離(km),"140,400","9,848",144,"21,048",417,-,669,"17,469",-,-,-,-,40,-,-,-,10,"16,365",21,29,-,326,"8,135",10,101,"4,676",-,375,75,26
その他の回数_演習その他_出場回数,"149,411","9,365",322,"29,442",971,145,"64,050","3,557",76,76,143,200,184,197,270,80,196,"12,530",42,263,184,626,"30,739",435,"3,497",425,223,648,"2,296",857
その他の回数_演習その他_走行距離(km),"1,111,702","76,480","9,073","89,184","4,831","3,496","410,504","39,807","1,557","1,558","3,958","5,412","8,030","5,712","6,950","2,820","2,674","110,533","1,115","5,431","5,518","14,900","695,717","16,066","98,838","13,606","4,150","8,596","24,954","27,992"
その他の回数_演習その他_附属装置運用時間_ポンプ運用(時間：分）,13496:17,1357:07,-,-,-,24:05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48:55,-,-
その他の回数_演習その他_附属装置運用時間_その他(時間：分）,67:50,0:35,0:30,18897:19,584:45,35:10,-,60:30,7:30,83:40,-,2:00,-,3:00,-,-,48:35,-,-,9:25,84:20,-,-,-,-,-,-,-,-,7:50
その他の回数_演習その他_点検走行距離(km),"6,300",520,27,781,9,-,"4,449",454,-,-,-,83,42,28,24,232,11,"1,297",6,241,28,219,"11,608",49,539,364,98,181,297,342
