年齢層,救急搬送人員（人）,,,,,
9歳以下,11548 ,,,,,
10代,4770 ,,,,,
20代,7212 ,,,,,
30代,5452 ,,,,,
40代,6639 ,,,,,
50代,9352 ,,,,,
60代,10346 ,,,,,
70代,20797 ,,,,,
80代,32636 ,,,,,
90歳以上,14693 ,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
