月,出場件数（件）,１日平均（件）
1,59466,1918
2,52370,1870
3,59445,1918
4,57341,1911
5,56275,1815
6,59177,1973
7,71823,2317
8,72955,2353
9,57236,1908
10,63589,2051
11,63564,2119
12,70462,2273
合計,743703,2038
