月別,救急出場件数・計,救急出場件数・交通事故,救急出場件数・火災,救急出場件数・運動競技,救急出場件数・自然災害,救急出場件数・水難事故,救急出場件数・労働災害,救急出場件数・一般負傷,救急出場件数・自損行為,救急出場件数・加害事故,救急出場件数・急病,救急出場件数・転院搬送,救急出場件数・資器材輸送,救急出場件数・医師搬送,救急出場件数・その他,救護人員・計,救護人員・交通事故,救護人員・火災,救護人員・運動競技,救護人員・自然災害,救護人員・水難事故,救護人員・労働災害,救護人員・一般負傷,救護人員・自損行為,救護人員・加害事故,救護人員・急病,救護人員・転院搬送
計,"743,703","39,614","3,249","3,495",19,583,"4,616","130,625","5,865","4,909","497,198","42,345",558,189,"10,438","631,407","35,690",566,"3,468",10,259,"4,528","115,001","4,071","3,621","422,429","41,764"
1月,"59,466","2,737",371,116,0,86,283,"10,538",502,339,"39,816","3,754",27,16,881,"50,067","2,424",64,115,0,43,275,"9,173",338,250,"33,704","3,681"
2月,"52,370","2,918",258,157,1,63,330,"9,428",413,348,"34,231","3,406",47,15,755,"44,627","2,631",55,153,1,33,324,"8,195",287,265,"29,326","3,357"
3月,"59,445","3,371",297,225,8,48,379,"10,532",457,412,"39,191","3,594",38,11,882,"51,187","3,031",59,228,8,22,370,"9,304",326,305,"33,967","3,567"
4月,"57,341","3,216",268,308,0,46,330,"10,144",435,426,"37,853","3,460",31,23,801,"49,498","2,931",54,304,0,24,322,"8,959",279,309,"32,895","3,421"
5月,"56,275","2,916",242,310,0,42,362,"9,587",510,367,"37,834","3,320",45,13,727,"48,863","2,667",37,309,0,17,351,"8,536",358,270,"33,028","3,290"
6月,"59,177","3,351",218,360,0,34,417,"9,905",545,399,"39,733","3,349",50,14,802,"51,452","3,030",37,358,0,13,409,"8,801",387,304,"34,788","3,325"
7月,"71,823","3,488",240,348,8,41,472,"12,037",546,402,"49,180","4,093",66,19,883,"61,718","3,186",39,342,0,10,462,"10,685",399,305,"42,251","4,039"
8月,"72,955","3,037",237,262,0,46,430,"10,680",498,397,"52,867","3,476",58,12,955,"56,327","2,675",33,257,0,15,424,"9,403",335,272,"39,542","3,371"
9月,"57,236","3,229",209,282,0,33,376,"9,451",503,359,"38,669","3,181",56,15,873,"48,270","2,884",29,277,0,14,369,"8,304",346,271,"32,652","3,124"
10月,"63,589","3,713",235,365,2,33,424,"12,055",477,507,"41,424","3,367",36,15,936,"54,541","3,344",34,368,1,18,420,"10,523",339,377,"35,786","3,331"
11月,"63,564","3,623",315,415,0,54,370,"12,192",497,446,"41,297","3,405",44,16,890,"54,614","3,284",48,409,0,28,365,"10,759",334,339,"35,681","3,367"
12月,"70,462","4,015",359,347,0,57,443,"14,076",482,507,"45,103","3,940",60,20,1053,"60,243","3,603",77,348,0,22,437,"12,359",343,354,"38,809","3,891"
