年齢(歳),0～2,3～5,6～14,15～19,20～29,30～39,40～49,50～59,60～64,65～69,70～74,75以上
男(人),10739,5320,8235,5980,24537,22468,28424,37047,17661,19554,30710,109537
女(人),8279,3508,4716,6444,30247,22619,21527,24591,10721,11563,21124,144736
合計(人),19018,8828,12951,12424,54784,45087,49951,61638,28382,31117,51834,254273
