主な出火原因,件数,割合
合計,3935,100
放火（疑いを含む）,590,15.0
たばこ,583,14.8
ガステーブル等,361,9.2
大型ガスこんろ,90,2.3
コンセント,86,2.2
その他,2225,56.5
