消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,火災件数・治外法権,"火災件数・管外からの延焼火災",り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,焼損床面積(㎡),林野焼損面積(ａ)
平成29年,"4,205","2,837",84,77,474,"2,202",3,216,-,-,1148,1,-,"2,486",208,219,"2,059","4,884","3,266",115,94,614,"2,443","20,719",32
平成30年,"3,973","2,696",64,87,447,"2,098",2,225,3,-,"1,046",1,-,"2,200",174,169,"1,857","4,239","2,999",84,102,539,"2,274","18,604",420
令和元年,"4,089","2,904",81,83,455,"2,285",5,206,1,-,969,3,1,"2,335",203,171,"1,961","4,395","3,284",107,100,583,"2,494","18,295",782
令和2年,"3,694","2,667",63,73,404,"2,127",1,216,-,-,809,1,-,"2,239",160,127,"1,952","4,270","3,028",73,85,518,"2,352","16,136",14
令和3年,"3,939","2,812",71,76,349,"2,316",6,215,1,-,901,4,-,"2,382",223,151,"2,008","4,527","3,228",112,93,475,"2,548","16,448",480
特別区,"2,816","2,092",35,45,244,"1,768",-,133,1,-,587,3,-,"1,681",149,95,"1,437","3,122","2,354",54,54,325,"1,921","8,565",-
丸の内,59,55,-,-,-,55,-,2,-,-,2,-,-,1,-,-,1,2,55,-,-,-,55,-,-
麹町,41,35,-,-,2,33,-,4,-,-,2,-,-,10,-,-,10,24,35,-,-,2,33,20,-
神田,27,18,-,-,1,17,-,3,-,-,6,-,-,1,-,-,1,1,18,-,-,1,17,5,-
京橋,46,32,-,-,2,30,-,1,-,-,13,-,-,2,-,-,2,5,32,-,-,2,30,1,-
日本橋,39,34,-,-,1,33,-,3,-,-,2,-,-,4,-,-,4,9,34,-,-,1,33,-,-
臨港,18,14,-,-,1,13,-,-,-,-,4,-,-,8,-,-,8,16,14,-,-,1,13,1,-
芝,83,61,-,-,4,57,-,3,-,-,18,1,-,20,2,1,17,36,61,-,-,4,57,64,-
麻布,41,33,-,-,1,32,-,1,-,-,6,1,-,13,-,-,13,27,35,-,-,1,34,-,-
赤坂,51,47,1,-,5,41,-,1,-,-,2,1,-,16,2,-,14,24,49,1,-,7,41,108,-
高輪,41,28,-,-,2,26,-,2,-,-,11,-,-,12,1,-,11,27,28,-,-,2,26,20,-
品川,46,31,-,1,3,27,-,8,1,-,6,-,-,17,2,4,11,31,32,-,1,3,28,60,-
大井,33,24,-,-,1,23,-,2,-,-,7,-,-,12,-,-,12,22,24,-,-,1,23,3,-
荏原,27,21,3,2,1,15,-,1,-,-,5,-,-,41,6,10,25,66,44,7,3,11,23,600,-
大森,64,42,-,-,4,38,-,7,-,-,15,-,-,25,-,-,25,42,42,-,-,4,38,4,-
田園調布,35,26,1,-,5,20,-,1,-,-,8,-,-,24,1,1,22,64,29,1,-,7,21,163,-
蒲田,42,32,1,2,7,22,-,1,-,-,9,-,-,30,4,5,21,50,36,1,2,8,25,287,-
矢口,34,24,-,-,3,21,-,1,-,-,9,-,-,33,3,4,26,74,25,-,-,3,22,38,-
目黒,86,71,3,2,7,59,-,3,-,-,12,-,-,57,13,2,42,120,80,3,3,10,64,378,-
世田谷,100,81,3,2,15,61,-,7,-,-,12,-,-,117,6,3,108,247,99,5,3,23,68,663,-
玉川,44,33,1,2,4,26,-,2,-,-,9,-,-,41,5,5,31,83,37,1,2,6,28,166,-
成城,52,34,1,3,3,27,-,3,-,-,15,-,-,37,4,5,28,71,35,1,3,3,28,448,-
渋谷,129,85,-,-,7,78,-,8,-,-,36,-,-,35,2,-,33,63,87,-,-,7,80,48,-
四谷,25,21,1,-,-,20,-,-,-,-,4,-,-,10,-,-,10,17,21,1,-,-,20,2,-
牛込,35,27,1,-,1,25,-,1,-,-,7,-,-,17,-,-,17,32,30,1,-,1,28,91,-
新宿,139,112,-,1,10,101,-,2,-,-,25,-,-,50,1,2,47,80,118,-,1,11,106,126,-
中野,28,23,-,-,6,17,-,-,-,-,5,-,-,26,3,-,23,45,28,-,-,7,21,75,-
野方,35,27,1,2,5,19,-,3,-,-,5,-,-,24,4,3,17,36,33,1,3,8,21,196,-
杉並,65,59,-,-,12,47,-,1,-,-,5,-,-,59,3,2,54,88,63,-,-,13,50,100,-
荻窪,36,30,-,-,2,28,-,2,-,-,4,-,-,25,-,1,24,50,30,-,-,2,28,10,-
小石川,30,25,-,-,4,21,-,-,-,-,5,-,-,15,-,-,15,30,25,-,-,4,21,38,-
本郷,33,28,-,1,3,24,-,3,-,-,2,-,-,23,-,1,22,38,30,-,1,3,26,142,-
豊島,66,46,-,2,2,42,-,1,-,-,19,-,-,30,3,1,26,50,47,-,2,2,43,69,-
池袋,53,43,-,-,5,38,-,1,-,-,9,-,-,22,1,-,21,37,45,-,-,5,40,36,-
王子,30,27,-,3,1,23,-,2,-,-,1,-,-,37,15,2,20,61,36,-,3,4,29,134,-
赤羽,38,28,-,-,4,24,-,4,-,-,6,-,-,15,-,-,15,33,28,-,-,4,24,30,-
滝野川,29,22,-,-,3,19,-,-,-,-,7,-,-,10,-,-,10,20,23,-,-,3,20,40,-
板橋,63,38,1,2,6,29,-,1,-,-,24,-,-,56,4,3,49,94,48,1,2,10,35,368,-
志村,72,48,1,2,7,38,-,3,-,-,21,-,-,44,6,5,33,85,55,2,2,8,43,320,-
練馬,37,32,-,2,6,24,-,2,-,-,3,-,-,39,1,3,35,71,37,-,2,6,29,161,-
光が丘,29,19,-,1,4,14,-,1,-,-,9,-,-,27,-,1,26,47,20,-,1,4,15,103,-
石神井,70,55,2,1,5,47,-,5,-,-,10,-,-,66,5,4,57,132,68,4,2,9,53,394,-
上野,45,25,-,1,3,21,-,5,-,-,15,-,-,17,2,3,12,24,28,-,1,6,21,76,-
浅草,19,16,-,-,3,13,-,-,-,-,3,-,-,12,-,1,11,21,16,-,-,3,13,18,-
日本堤,19,16,-,-,5,11,-,1,-,-,2,-,-,11,2,-,9,18,17,-,-,5,12,36,-
荒川,25,14,-,-,2,12,-,-,-,-,11,-,-,8,1,-,7,16,15,-,-,2,13,55,-
尾久,17,15,1,1,3,10,-,-,-,-,2,-,-,18,2,-,16,36,24,1,1,6,16,152,-
千住,27,18,-,-,1,17,-,-,-,-,9,-,-,11,-,1,10,25,19,-,-,1,18,12,-
足立,79,53,5,3,5,40,-,4,-,-,22,-,-,91,7,3,81,186,84,5,4,17,58,583,-
西新井,68,43,-,2,5,36,-,4,-,-,21,-,-,47,2,3,42,88,52,-,3,8,41,148,-
本所,50,37,-,-,7,30,-,1,-,-,12,-,-,25,-,2,23,37,38,-,-,7,31,17,-
向島,31,20,-,-,5,15,-,1,-,-,10,-,-,25,1,-,24,41,23,-,-,5,18,42,-
深川,75,53,-,-,4,49,-,4,-,-,18,-,-,21,1,-,20,42,54,-,-,4,50,36,-
城東,54,37,4,-,4,29,-,4,-,-,13,-,-,53,12,5,36,84,62,10,2,12,38,773,-
本田,59,40,-,2,7,31,-,3,-,-,16,-,-,32,1,1,30,56,41,-,2,7,32,75,-
金町,49,34,1,1,7,25,-,2,-,-,13,-,-,37,3,1,33,63,38,2,1,7,28,202,-
江戸川,45,36,-,2,10,24,-,1,-,-,8,-,-,44,4,1,39,84,46,-,2,12,32,165,-
葛西,48,33,3,2,6,22,-,4,-,-,11,-,-,57,14,6,37,99,49,6,2,10,31,563,-
小岩,55,31,-,-,2,29,-,3,-,-,21,-,-,21,-,-,21,52,32,-,-,2,30,100,-
受託地区,1123,720,36,31,105,548,6,82,-,-,314,1,-,701,74,56,571,"1,405",874,58,39,150,627,"7,883",480
立川,88,62,1,3,6,52,-,4,-,-,22,-,-,33,2,5,26,75,69,1,3,9,56,233,-
