消防署,出場件数・計,出場件数・危険排除・小計,出場件数・危険排除・電気,出場件数・危険排除・ガス,出場件数・危険排除・危険物,出場件数・危険排除・毒物劇物,出場件数・危険排除・ＲＩ,出場件数・危険排除・火気取扱,出場件数・危険排除・異臭等,出場件数・応急措置・小計,出場件数・応急措置・洗浄,出場件数・応急措置・救援,出場件数・応急措置・排水,出場件数・応急措置・照明,出場件数・応急措置・除去,出場件数・警戒,出場件数・その他・小計,出場件数・その他・哺乳類,出場件数・その他・昆虫類,出場件数・その他・その他の動物,出場件数・その他・左記以外,出場車両・計,出場車両・ポンプ車,出場車両・化学車,出場車両・救助車,出場車両・はしご車,出場車両・空中作業車,出場車両・救急車,出場車両・救援車,出場車両・照明車,出場車両・消防艇,出場車両・ヘリコプター,出場車両・指揮隊車,出場車両・査察広報車,出場車両・その他,出場人員・計,出場人員・従事・当番,出場人員・従事・非番,出場人員・不従事・当番,出場人員・不従事・非番
平成29年,"5,658","3,501",243,713,"2,102",119,1,223,100,186,0,2,60,0,124,241,"1,730",469,405,87,769,"13,921","6,548",900,362,145,3,"1,299",0,2,8,1,"4,238",40,375,"61,663","41,255",498,"19,690",220
平成30年,"5,665","3,336",288,726,"1,885",132,0,183,122,297,0,2,47,0,248,228,"1,804",403,389,91,921,"14,321","6,718",896,373,179,6,"1,268",0,0,13,2,"4,358",36,472,"63,084","42,334",515,"20,047",188
令和元年,"5,767","3,521",279,787,"2,009",146,0,183,117,348,2,0,57,1,288,183,"1,715",375,319,98,923,"14,723","6,756",913,406,164,6,"1,343",0,0,17,3,"4,571",68,476,"64,570","43,623",616,"20,103",228
令和2年,"4,945","3,163",230,797,"1,669",174,0,196,97,194,3,1,34,1,155,155,"1,433",441,304,25,663,"13,025","5,906",866,394,150,2,"1,172",1,5,35,1,"3,841",79,573,"56,853","38,788",350,"17,614",101
令和3年,"5,135","3,404",252,872,"1,740",186,0,192,162,181,2,2,51,1,125,91,"1,459",356,323,116,664,"14,270","6,462",889,484,189,3,"1,349",1,2,18,2,"4,087",119,665,"62,086","40,976",934,"19,867",309
特別区,"3,566","2,415",216,691,"1,127",141,0,116,124,145,1,2,38,0,104,48,958,272,100,65,521,"10,095","4,597",608,350,167,3,868,1,1,18,1,"2,930",72,479,"44,218","28,615",672,"14,686",245
丸の内,18,15,0,0,15,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,62,29,0,2,2,0,9,0,0,0,1,17,1,1,288,208,10,70,0
麹町,20,14,1,3,7,2,0,0,1,1,0,0,0,0,1,0,5,1,0,0,4,72,41,0,3,2,2,3,0,0,0,0,20,0,1,317,169,2,146,0
神田,26,22,2,8,12,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,2,97,53,0,3,4,0,11,0,0,0,0,22,1,3,434,263,5,165,1
京橋,27,18,3,3,12,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,7,96,41,10,4,5,0,8,0,0,0,0,24,1,3,428,224,6,197,1
日本橋,27,18,0,3,13,1,0,0,1,2,0,0,1,0,1,0,7,1,0,0,6,95,48,1,1,5,0,7,0,0,1,0,27,0,5,410,321,2,86,1
臨港,24,17,0,6,10,0,0,1,0,1,0,0,0,0,1,1,5,2,0,0,3,68,10,19,0,1,0,1,0,0,13,0,22,0,2,341,161,5,158,17
