年,24,25,26,27,28,29,30,元年,2年,3年
放火（疑いを含む）,1507,1622,1381,1027,881,896,705,641,641,590
たばこ,709,737,710,664,586,691,651,689,508,583
ガステーブル等,441,418,415,457,363,360,305,347,399,361
