時間帯,救急出場件数・計,救急出場件数・交通事故,救急出場件数・火災,救急出場件数・運動競技,救急出場件数・自然災害,救急出場件数・水難事故,救急出場件数・労働災害,救急出場件数・一般負傷,救急出場件数・自損行為,救急出場件数・加害事故,救急出場件数・急病,救急出場件数・転院搬送,救急出場件数・資器材輸送,救急出場件数・医師搬送,救急出場件数・その他,救護人員・計,救護人員・交通事故,救護人員・火災,救護人員・運動競技,救護人員・自然災害,救護人員・水難事故,救護人員・労働災害,救護人員・一般負傷,救護人員・自損行為,救護人員・加害事故,救護人員・急病,救護人員・転院搬送
平成29年,"785,184","50,604","3,274","5,330",18,876,"4,965","138,645","5,023","6,924","515,466","44,647",542,190,"8,680","699,878","48,196",680,"5,323",12,494,"4,908","125,729","3,632","5,488","461,179","44,237"
平成30年,"818,062","47,957","3,240","5,429",22,901,"5,328","146,765","5,049","6,594","543,660","43,314",546,210,"9,047","727,401","45,492",687,"5,412",20,489,"5,256","133,619","3,634","5,287","484,629","42,876"
令和元年,"825,929","45,696","3,539","5,281",21,880,"5,404","147,601","5,317","6,112","550,306","45,179",556,211,"9,826","732,842","42,978",611,"5,260",14,458,"5,349","133,954","3,858","4,826","490,825","44,709"
令和2年,"720,965","38,829","3,209","2,933",7,730,"4,535","133,902","5,700","5,223","476,455","38,980",503,160,"9,799","626,536","35,769",619,"2,917",7,365,"4,478","119,814","4,000","3,930","416,078","38,559"
令和3年,"743,703","39,614","3,249","3,495",19,583,"4,616","130,625","5,865","4,909","497,198","42,345",558,189,"10,438","631,407","35,690",566,"3,468",10,259,"4,528","115,001","4,071","3,621","422,429","41,764"
0時,"21,337",545,126,13,1,15,49,"3,015",251,357,"15,963",594,4,5,399,"16,664",463,27,12,1,10,48,"2,391",189,259,"12,687",577
1時,"18,260",420,111,4,0,14,41,"2,372",199,321,"13,956",462,4,2,354,"14,248",357,19,4,0,6,41,"1,899",153,215,"11,103",451
2時,"16,039",348,69,1,0,7,48,"1,929",182,272,"12,496",392,3,2,290,"12,599",293,10,1,0,2,48,"1,539",136,184,"10,003",383
3時,"14,656",280,71,2,0,8,40,"1,782",165,224,"11,479",348,3,4,250,"11,645",236,17,2,0,3,40,"1,475",126,148,"9,259",339
4時,"14,363",290,74,3,2,7,42,"1,809",183,199,"11,248",259,0,0,247,"11,585",251,19,3,0,3,41,"1,471",140,149,"9,258",250
5時,"16,178",479,70,5,0,18,54,"2,146",173,178,"12,546",264,1,2,242,"13,197",416,14,5,0,7,52,"1,816",131,119,"10,379",258
6時,"20,097",947,110,9,1,24,59,"2,877",205,134,"15,184",260,3,2,282,"16,883",886,22,8,0,6,57,"2,503",137,101,"12,912",251
7時,"26,074","1,682",133,33,0,25,105,"3,944",223,135,"19,164",305,3,1,321,"22,251","1,542",23,32,0,7,102,"3,482",149,95,"16,521",298
8時,"33,924","2,543",136,58,0,25,245,"5,732",213,126,"23,781",640,17,7,401,"30,218","2,371",26,58,0,3,240,"5,290",144,101,"21,361",624
9時,"41,701","2,234",148,165,1,32,458,"7,210",191,141,"28,159","2,445",46,12,459,"37,571","2,084",21,168,1,4,448,"6,684",120,96,"25,529","2,416"
10時,"44,226","2,445",148,291,1,28,471,"8,171",211,87,"28,020","3,744",71,19,519,"39,264","2,190",21,287,1,7,463,"7,480",141,66,"24,893","3,715"
11時,"42,383","2,476",155,367,1,30,465,"7,935",231,117,"25,970","4,068",49,16,503,"37,272","2,210",24,367,1,8,451,"7,208",140,101,"22,738","4,024"
12時,"41,599","2,436",183,321,3,30,264,"7,767",269,124,"25,194","4,470",44,15,479,"36,533","2,243",40,319,0,3,264,"7,030",168,97,"21,945","4,424"
13時,"40,730","2,354",163,249,1,24,394,"7,557",264,123,"25,220","3,842",55,18,466,"35,596","2,177",28,247,0,7,389,"6,792",165,94,"21,885","3,812"
14時,"39,158","2,405",144,351,0,14,380,"7,490",277,128,"24,279","3,090",56,18,526,"33,824","2,146",14,352,0,5,369,"6,703",185,105,"20,900","3,045"
15時,"38,667","2,527",165,302,3,23,316,"7,630",285,159,"23,402","3,274",53,10,518,"33,372","2,292",30,301,2,11,315,"6,797",185,117,"20,093","3,229"
16時,"38,769","2,713",169,294,2,35,332,"7,669",302,164,"23,102","3,438",36,8,505,"33,429","2,532",39,290,2,15,326,"6,852",198,118,"19,658","3,399"
17時,"39,582","2,993",163,246,1,40,223,"7,802",306,184,"23,870","3,131",32,11,580,"33,774","2,704",13,245,1,23,220,"6,855",198,145,"20,283","3,087"
18時,"38,608","2,788",177,216,0,41,157,"7,329",301,187,"24,636","2,160",30,5,581,"32,516","2,483",22,215,0,26,154,"6,470",212,139,"20,673","2,122"
19時,"37,249","2,171",175,200,0,31,144,"7,229",296,238,"24,685","1,541",16,5,518,"31,153","1,916",29,198,0,18,141,"6,262",218,187,"20,671","1,513"
20時,"34,748","1,712",169,169,0,32,109,"6,680",288,271,"23,686","1,045",12,10,565,"28,767","1,485",38,165,0,23,107,"5,751",207,220,"19,752",1019
21時,"32,273","1,235",148,113,0,29,104,"5,869",290,350,"22,615",1006,7,5,502,"26,461","1,070",28,108,0,25,100,"5,027",197,250,"18,665",991
22時,"28,240",925,130,58,1,31,69,"4,769",285,342,"20,297",826,7,6,494,"22,814",785,25,57,0,25,67,"3,999",216,264,"16,565",811
23時,"24,842",666,112,25,1,20,47,"3,912",275,348,"18,246",741,6,6,437,"19,771",558,17,24,1,12,45,"3,225",216,251,"14,696",726
