月別,計・回数,計・聴衆数,本庁行事・回数,本庁行事・聴衆数,消防署行事・回数,消防署行事・聴衆数,東京都関係・回数,東京都関係・聴衆数,官公庁行事・回数,官公庁行事・聴衆数,学校関係・回数,学校関係・聴衆数,一般・回数,一般・聴衆数
平成29年,276,"389,290",76,"35,040",64,"40,600",33,"40,450",36,"93,900",2,"1,500",65,"177,800"
平成30年,330,"504,155",78,"39,550",70,"22,900",35,"63,500",59,"60,520",4,"1,600",84,"316,085"
令和元年,288,"260,430",74,"43,690",57,"14,650",30,"44,450",57,"39,090",3,"1,500",67,"117,050"
令和2年,36,"26,270",20,"20,420",8,"2,800",-,-,8,"3,050",-,-,-,-
令和3年,26,"10,150",12,"1,490",8,"3,470",1,3000,1,40,-,-,4,2150
1月,2,-,2,-,-,-,-,-,-,-,-,-,-,-
2月,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3月,2,520,2,520,-,-,-,-,-,-,-,-,-,-
4月,2,550,2,550,-,-,-,-,-,-,-,-,-,-
5月,-,,-,-,-,-,-,-,-,-,-,-,-,-
6月,1,200,-,-,1,200,-,-,-,-,-,-,-,-
7月,3,3140,2,140,-,-,1,3000,-,-,-,-,-,-
8月,-,,-,-,-,-,-,-,-,-,-,-,-,-
9月,-,,-,-,-,-,-,-,-,-,-,-,-,-
10月,3,740,1,200,-,-,-,-,1,40,-,-,1,500
11月,8,"3,870",-,-,6,"2,270",-,-,,,-,-,2,1600
12月,5,1130,3,80,1,1000,-,-,-,-,-,-,1,50
