区分,件数・出場,件数・従事,救助人員・計,救助人員・重症,救助人員・中等症,救助人員・軽症,救助人員・無症,救助人員・死亡,出場車両数・計,出場車両数・ポンプ車,出場車両数・救助車,出場車両数・化学車,出場車両数・はしご車,出場車両数・救急車,出場車両数・照明車,"出場車両数・救出救助車、水難救助車、指揮統制車",出場車両数・ヘリコプター,出場車両数・消防艇,出場車両数・指揮隊車,出場車両数・その他,従事台数,出場人員,従事人員
平成29年,"21,984","16,829","18,568","2,657","5,892","6,907",1618,1494,"69,402","22,870","7,250","3,328",304,"23,226",44,155,42,251,"11,100",832,"41,995","281,640","168,130"
平成30年,"23,543","17,730","19,381","2,814","6,095","6,897","1,724",1851,"75,639","24,576","8,207","3,727",313,"24,710",74,262,79,365,"12,230",1096,"43,807","307,763","176,655"
令和元年,"24,327","17,852","19,435","2,899","5,961","6,718","1,815",2042,"78,858","24,999","9,155","3,918",310,"25,547",84,245,55,370,"13,152","1,023","43,432","320,770","175,718"
令和2年,"23,856","17,359","18,197","2,844","5,858","5,422","1,794",2279,"78,152","24,542","9,444","3,753",282,"24,798",94,261,57,331,"13,332","1,258","40,869","319,565","168,016"
令和3年,"25,004","17,642","18,567","2,828","5,918","5,340","2,077","2,404","81,970","25,165","10,084","4,040",254,"25,955",80,315,89,342,"14,218","1,428","40,139","336,208","167,319"
火災_逃げ遅れ,109,109,129,21,16,12,27,53,"2,242","1,090",133,88,132,284,2,41,11,0,244,217,"1,833","8,886","7,300"
火災_自損,5,5,5,1,0,0,0,4,96,48,5,2,6,11,0,0,0,0,14,10,77,380,302
交通_自動車_自動車との衝突,"2,683","2,409","3,589",182,627,"2,487",285,8,"8,024","2,803",296,465,56,"3,504",0,0,4,0,754,142,"5,322","30,209","20,852"
交通_自動車_ガードレール等との衝突（単独横転含む）,656,539,583,72,142,311,53,5,"2,333",911,174,101,33,727,0,0,3,4,326,54,"1,358","9,306","5,541"
交通_自動車_人との衝突,100,83,107,30,24,42,3,8,387,140,37,11,0,135,0,0,0,0,48,16,210,"1,507",835
交通_列車・電車_列車・電車との衝突,81,66,62,12,3,4,1,42,685,289,150,28,0,87,0,0,0,0,85,46,401,"2,860","1,716"
交通_列車・電車_自動車との衝突,3,3,3,0,0,3,0,0,14,6,2,1,0,3,0,0,0,0,1,1,11,57,42
交通_列車・電車_飛び込み自損等,92,75,67,14,7,3,1,42,691,298,145,17,0,93,0,0,0,0,94,44,441,"2,909","1,912"
交通_列車・電車_転覆・脱線,1,0,0,0,0,0,0,0,6,3,1,0,0,1,0,0,0,0,1,0,0,28,0
交通_航空機墜落等その他,33,24,24,1,10,13,0,0,99,37,5,5,0,37,0,0,0,0,12,3,47,382,181
水難_海・河川等_船舶と船舶との衝突,1,1,0,0,0,0,0,0,8,3,1,1,0,1,0,1,0,0,1,0,3,35,13
水難_海・河川等_河川等への転落,148,116,114,21,7,8,10,68,"1,452",349,144,117,0,175,38,152,20,207,182,68,719,"6,541","3,336"
水難_池・プール・井戸等への転落,5,3,4,0,1,1,1,1,20,7,4,0,0,5,0,0,0,0,4,0,10,87,46
水難_飛び込み自損等,55,27,24,7,4,3,0,10,492,129,53,37,0,58,21,56,1,62,59,16,163,"2,124",694
水難_その他,37,21,20,4,4,0,5,7,319,84,37,22,0,41,13,31,3,37,39,12,106,"1,417",475
機械_昇降機_エレベーターに閉じ込められ,62,28,36,0,1,3,32,0,236,58,61,9,0,49,0,0,0,0,59,0,75,1056,369
機械_昇降機_エレベーターに挟まれ,3,2,2,0,0,2,0,0,12,2,3,1,0,3,0,0,0,0,3,0,5,52,19
機械_昇降機_エスカレーターに挟まれ等,2,1,1,0,1,0,0,0,7,1,2,1,0,1,0,0,0,0,2,0,3,33,14
機械_昇降機_リフト・ダムウェータに挟まれ,4,3,3,3,0,0,0,0,25,7,6,1,0,4,0,0,0,0,5,2,19,106,82
機械_プレス機械に挟まれ,7,5,5,3,1,0,0,1,58,12,13,2,0,8,0,2,0,0,12,9,38,238,161
機械_回転機械_印刷機械ローラーに挟まれ,3,0,0,0,0,0,0,0,19,7,4,0,0,3,0,0,0,0,3,2,0,77,0
機械_回転機械_その他の回転機械・かくはん機,12,8,8,1,4,2,0,1,77,21,16,1,0,12,0,4,0,0,15,8,45,316,180
機械_ベルトコンベアー_挟まれ,2,2,2,0,1,1,0,0,15,4,4,1,0,2,0,0,0,0,3,1,12,63,52
機械_ベルトコンベアー_巻き込まれ,1,1,1,1,0,0,0,0,7,3,2,0,0,1,0,0,0,0,1,0,7,30,30
機械_コンクリートミキサー等の機械に挟まれ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
機械_その他の機械_自動販売機等,2,1,1,0,0,0,1,0,8,2,2,0,0,2,0,0,0,0,2,0,1,34,4
機械_その他の機械_その他,31,24,23,2,5,10,6,0,134,41,27,4,0,33,0,0,0,0,27,2,71,579,318
建物・工作物_建物・工作物_居室等閉じ込められ,"11,514","6,752","6,192",611,"1,888",847,1219,1627,"40,041","9,764","7,054",1861,7,"11,308",0,0,1,0,"9,906",140,"14,967","171,117","66,999"
建物・工作物_建物・工作物_ドア等に挟まれ,111,76,75,3,14,32,20,6,384,96,62,17,0,109,0,0,0,0,96,4,173,"1,629",740
建物・工作物_家庭器具・洗濯機・扇風機等に挟まれ,125,86,89,4,12,22,50,1,405,111,52,17,1,119,0,0,0,0,102,3,192,"1,700",845
建物・工作物_その他建物内事故（階段が狭く搬出不能）,"7,665","6,295","6,484","1,676","2,977","1,267",186,378,"17,105","6,749",709,1022,6,"7,567",0,0,0,0,970,82,"10,823","64,338","41,119"
崩壊_土砂崩れ,3,3,3,0,0,2,0,1,113,19,13,1,0,20,1,5,2,0,10,42,87,1282,881
崩壊_建物・工作物の倒壊,10,9,14,7,2,1,3,1,62,21,10,4,0,13,0,0,0,0,11,3,40,254,171
崩壊_工事作業車（クレーン車等）の転倒,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
崩壊_荷崩れ,2,1,0,0,0,0,0,0,13,5,3,1,0,2,0,0,0,0,2,0,1,57,2
