事故種別,内容,救急搬送人員（人）,,,,
ころぶ,段差,2478,,,,
ころぶ,階段,1656,,,,
ころぶ,椅子,608,,,,
ころぶ,自転車,572,,,,
ころぶ,エスカレーター,525,,,,
落ちる,階段,2840,,,,
落ちる,ベッド,1095,,,,
落ちる,椅子,414,,,,
落ちる,脚立・踏み台・足場,367,,,,
落ちる,エスカレーター,153,,,,
ものがつまる等,食物,340,,,,
ものがつまる等,包み・袋,103,,,,
ものがつまる等,野菜・果物,98,,,,
ものがつまる等,おかゆ類,97,,,,
ものがつまる等,肉,91,,,,
ぶつかる,人,204,,,,
ぶつかる,その他の家具,94,,,,
ぶつかる,手動ドア,85,,,,
ぶつかる,壁・天井,85,,,,
ぶつかる,柱,73,,,,
切る・刺さる,ナイフ,143,,,,
切る・刺さる,電気のこぎり,58,,,,
切る・刺さる,食器類,29,,,,
切る・刺さる,ハサミ・爪切り,25,,,,
切る・刺さる,スライサー,22,,,,
おぼれる,浴槽,393,,,,
おぼれる,船,3,,,,
おぼれる,プール,1,,,,
おぼれる,河川,1,,,,
はさむ・はさまれる,手動ドア,43,,,,
はさむ・はさまれる,ベッド,27,,,,
はさむ・はさまれる,プレス機,19,,,,
はさむ・はさまれる,その他の家具,15,,,,
はさむ・はさまれる,自動車のドア,12,,,,
かまれる・刺される,虫,117,,,,
かまれる・刺される,動物等,109,,,,
やけど,熱湯,27,,,,
やけど,ヤカン,23,,,,
やけど,鍋,18,,,,
やけど,ポット・魔法瓶,15,,,,
やけど,味噌汁・スープ,14,,,,
