消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積（㎡）",損害額（円）,死者,負傷者
平成29年,896,351,7,7,49,288,3,31,-,-,511,"1,608","275,259,075",14,57
平成30年,705,276,7,3,46,220,-,17,-,-,412,"1,178","171,864,302",14,60
令和元年,641,255,14,6,39,196,1,12,0,0,373,"1,937","525,966,877",26,67
令和2年,641,270,6,8,38,218,-,21,-,-,350,995,"380,515,829",19,58
令和3年,590,213,6,2,33,172,1,12,-,-,364,1290,"260,091,391",17,27
特別区,371,140,3,2,21,114,-,7,-,-,224,942,"207,291,205",10,17
丸の内,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
麹町,1,1,-,-,-,1,-,-,-,-,-,-,"3,000",0,0
神田,3,1,-,-,-,1,-,-,-,-,2,-,900,0,0
京橋,5,1,-,-,-,1,-,-,-,-,4,-,"3,900",0,0
日本橋,2,1,-,-,-,1,-,-,-,-,1,-,800,0,1
臨港,1,-,-,-,-,-,-,-,-,-,1,-,900,0,0
芝,2,1,-,-,-,1,-,-,-,-,1,-,500,0,0
麻布,1,1,-,-,-,1,-,-,-,-,-,-,100,0,0
赤坂,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
高輪,8,-,-,-,-,-,-,-,-,-,8,-,-,-,-
品川,3,2,-,-,-,2,-,-,-,-,1,-,20800,0,1
大井,1,-,-,-,-,-,-,-,-,-,1,-,800,0,0
荏原,2,-,-,-,-,-,-,-,-,-,2,-,-,0,0
大森,10,4,-,-,1,3,-,2,-,-,4,3,"424,800",0,0
田園調布,6,1,-,-,-,1,-,-,-,-,5,-,"14,600",0,0
蒲田,5,2,-,-,2,-,-,-,-,-,3,12,"4,064,105",0,1
矢口,2,-,-,-,-,-,-,-,-,-,2,-,"14,300",0,0
目黒,10,5,-,-,-,5,-,-,-,-,5,-,"20,100",0,0
世田谷,8,3,-,-,1,2,-,-,-,-,5,9,"6,553,650",0,0
玉川,13,7,1,-,-,6,-,-,-,-,6,62,18599400,0,3
成城,13,1,-,-,-,1,-,-,-,-,12,-,"9,800",0,0
渋谷,14,5,-,-,-,5,-,-,-,-,9,-,"33,685",1,1
四谷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牛込,2,-,-,-,-,-,-,1,-,-,1,-,"381,350",0,1
新宿,9,6,-,-,-,6,-,-,-,-,3,-,"4,800",0,0
中野,3,2,-,-,1,1,-,-,-,-,1,32,"4,387,000",1,1
野方,3,-,-,-,-,-,-,-,-,-,3,-,"31,300",0,0
杉並,2,1,-,-,-,1,-,-,-,-,1,-,510,0,0
荻窪,3,1,-,-,-,1,-,1,-,-,1,-,"2,600,600",-,-
小石川,2,1,-,-,-,1,-,-,-,-,1,-,100,0,0
本郷,2,2,-,-,-,2,-,-,-,-,-,-,90,0,0
豊島,6,3,-,-,-,3,-,-,-,-,3,-,"163,700",0,0
池袋,3,1,-,-,-,1,-,-,-,-,2,-,"5,800",0,0
王子,5,5,-,-,-,5,-,-,-,-,-,-,"419,410",0,0
赤羽,8,4,-,-,-,4,-,1,-,-,3,-,"218,790",1,0
滝野川,6,1,-,-,1,-,-,-,-,-,5,20,2325860,1,0
板橋,20,4,-,-,-,4,-,-,-,-,16,-,"69,600",0,0
志村,16,4,-,-,-,4,-,-,-,-,12,-,"22,850",1,0
練馬,2,2,-,-,-,2,-,-,-,-,-,-,"8,000",0,0
光が丘,7,3,-,1,-,2,-,-,-,-,4,35,"5,113,789",2,0
石神井,7,3,-,-,2,1,-,-,-,-,4,13,"2,144,620",0,1
上野,6,1,-,-,-,1,-,-,-,-,5,-,"2,516",0,1
浅草,1,1,-,-,-,1,-,-,-,-,-,-,"5,000",0,0
日本堤,2,1,-,-,-,1,-,-,-,-,1,-,900,0,0
荒川,4,1,-,-,-,1,-,-,-,-,3,-,500,0,0
尾久,1,-,-,-,-,-,-,-,-,-,1,-,100,0,0
千住,7,2,-,-,-,2,-,-,-,-,5,-,960,0,0
足立,18,6,-,-,-,6,-,1,-,-,11,-,"4,128,700",0,0
西新井,16,5,-,1,1,3,-,-,-,-,11,34,"1,894,022",0,2
