消防署,合計・件数,合計・隊数,合計・人員,怪煙偵察・件数,怪煙偵察・隊数,怪煙偵察・人員,ベル鳴動・件数,ベル鳴動・隊数,ベル鳴動・人員,その他・件数,その他・隊数,その他・人員
平成29年,"8,471","13,838","64,762",513,"1,004","4,759","7,598","12,184","56,934",360,650,"3,069"
平成30年,"9,577","15,327","71,013",551,"1,085","5,098","8,711","13,671","63,260",315,571,"2,655"
令和元年,"10,934","16,944","78,089",581,"1,133","5,288","10,042","15,239","70,166",311,572,"2,635"
令和2年,"9,710","15,789","72,775",586,"1,159","5,409","8,793","14,023","64,559",331,607,"2,807"
令和3年,"9,909","16,127","74,554",534,"1,052","4,901","8,980","14,374","66,419",395,701,"3,234"
特別区,"7,930","12,346","57,090",305,592,"2,778","7,301","11,190","51,714",324,564,"2,598"
丸の内,14,29,152,5,12,63,9,17,89,0,0,0
麹町,37,73,351,1,2,10,33,66,318,3,5,23
神田,104,207,1078,0,0,0,100,199,1037,4,8,41
京橋,96,191,979,4,8,43,92,183,936,0,0,0
日本橋,97,108,485,3,5,23,91,100,449,3,3,13
臨港,29,59,298,1,3,14,27,54,274,1,2,10
芝,137,158,768,7,15,73,130,143,695,0,0,0
麻布,158,313,"1,517",8,16,79,148,293,"1,419",2,4,19
赤坂,71,139,663,3,6,29,65,127,605,3,6,29
高輪,61,119,627,4,7,36,52,102,540,5,10,51
品川,140,277,"1,308",7,15,70,129,255,1205,4,7,33
大井,81,158,765,1,2,11,76,148,714,4,8,40
荏原,120,240,1173,8,16,76,107,214,1051,5,10,46
大森,144,218,985,12,22,100,126,186,839,6,10,46
田園調布,125,245,1105,6,12,54,112,220,993,7,13,58
蒲田,124,239,"1,122",8,16,73,110,213,"1,005",6,10,44
矢口,93,119,515,1,2,9,90,114,493,2,3,13
目黒,217,251,1112,6,11,52,205,230,1010,6,10,50
世田谷,325,375,"1,595",11,21,93,296,320,"1,349",18,34,153
玉川,119,235,1071,10,20,94,104,206,937,5,9,40
成城,119,230,1047,6,12,56,105,202,919,8,16,72
渋谷,330,372,"1,678",8,16,76,308,332,"1,487",14,24,115
四谷,98,195,918,1,2,9,97,193,909,0,0,0
牛込,115,226,1108,0,0,0,108,213,1044,7,13,64
新宿,398,518,"2,522",8,15,72,386,497,"2,421",4,6,29
中野,148,285,"1,369",4,8,36,137,266,"1,281",7,11,52
野方,119,232,1050,9,15,67,108,213,965,2,4,18
杉並,207,231,946,3,8,36,180,186,749,24,37,161
荻窪,165,254,1143,6,12,55,144,216,970,15,26,118
小石川,65,128,604,3,5,25,60,119,561,2,4,18
本郷,107,210,980,4,9,41,101,198,926,2,3,13
豊島,181,203,928,6,9,44,174,193,879,1,1,5
池袋,167,328,"1,581",9,19,88,155,303,"1,465",3,6,28
王子,85,165,746,2,3,13,76,148,670,7,14,63
赤羽,111,220,1036,4,7,33,104,206,971,3,7,32
滝野川,68,135,612,4,7,32,61,122,553,3,6,27
板橋,132,256,1346,4,8,41,126,244,1283,2,4,22
志村,77,152,796,3,6,33,74,146,763,0,0,0
練馬,73,141,695,3,6,30,65,126,621,5,9,44
光が丘,134,258,1279,4,9,44,117,226,1121,13,23,114
石神井,46,88,415,0,0,0,37,73,348,9,15,67
上野,64,161,644,5,14,56,59,147,588,0,0,0
浅草,276,310,1304,17,31,146,239,249,1024,20,30,134
日本堤,126,149,627,16,26,119,100,106,431,10,17,77
荒川,199,369,1815,2,4,21,193,357,1753,4,8,41
尾久,70,140,658,3,6,30,63,126,589,4,8,39
千住,183,210,942,10,21,100,168,181,805,5,8,37
足立,159,175,727,6,11,48,147,156,644,6,8,35
西新井,165,196,820,10,20,94,153,173,712,2,3,14
本所,111,170,757,7,12,56,102,153,679,2,5,22
向島,171,211,942,3,4,19,154,187,839,14,20,84
深川,270,338,1444,3,4,19,265,332,1417,2,2,8
城東,168,189,775,4,9,41,156,165,673,8,15,61
本田,144,164,713,1,2,10,138,152,652,5,10,51
金町,200,236,986,14,25,114,183,207,854,3,4,18
江戸川,177,345,1582,5,12,54,155,301,1383,17,32,145
葛西,75,145,679,2,4,18,71,137,643,2,4,18
小岩,135,258,1207,0,0,0,130,249,1164,5,9,43
受託地区,"1,979","3,781","17,464",229,460,"2,123","1,679","3,184","14,705",71,137,636
立川,145,216,979,11,23,107,127,181,817,7,12,55
武蔵野,101,198,934,4,8,39,89,175,824,8,15,71
三鷹,103,199,919,7,13,61,87,168,776,9,18,82
府中,119,237,1075,9,18,82,109,217,984,1,2,9
昭島,38,75,351,1,2,9,37,73,342,0,0,0
調布,121,237,"1,093",16,30,138,99,195,896,6,12,59
小金井,59,119,580,1,2,10,58,117,570,0,0,0
小平,68,134,613,7,14,63,56,110,503,5,10,47
東村山,64,79,343,10,20,96,53,57,238,1,2,9
国分寺,91,177,801,7,14,64,81,158,715,3,5,22
狛江,32,65,314,1,3,14,28,56,273,3,6,27
北多摩西部,69,137,646,15,31,144,51,99,469,3,7,33
清瀬,38,75,349,6,12,57,29,57,264,3,6,28
東久留米,45,85,405,5,11,52,35,65,312,5,9,41
西東京,109,202,965,19,32,149,87,164,788,3,6,28
八王子,310,607,"2,761",33,68,309,269,524,"2,383",8,15,69
青梅,67,143,658,8,18,83,58,123,566,1,2,9
町田,173,340,"1,573",39,80,367,133,258,1197,1,2,9
日野,76,152,689,7,14,62,68,136,618,1,2,9
福生,56,115,543,9,18,84,46,95,450,1,2,9
多摩,68,131,614,3,6,28,63,121,566,2,4,20
秋川,22,45,210,9,19,89,13,26,121,0,0,0
奥多摩,5,13,49,2,4,16,3,9,33,0,0,0
