,件数（件）,割合（%）,
こんろ,377,23.3,
たばこ,223,13.8,
放火,105,6.5,
ストーブ,95,5.9,
ロウソク,36,2.2,
コード,29,1.8,
火遊び,6,0.4,
その他,617,38.2,
不明,129,8.0,
