消防署,計,工事種別処理件数・新築,工事種別処理件数・増築,工事種別処理件数・改築,工事種別処理件数・移転,工事種別処理件数・修繕,工事種別処理件数・模様替,工事種別処理件数・用途変更,工事種別処理件数・その他,"同意・不同意別処理件数・同意",同意・不同意別処理件数・不同意
平成29年,"50,858","48,179","1,892",9,14,8,7,632,117,"50,858",0
平成30年,"49,480","46,693","1,966",8,10,10,7,683,103,"49,480",0
令和元年,"50,068","47,269","2,185",11,6,7,27,459,104,"50,068",0
令和2年,"44,704","42,797","1,522",12,5,14,13,252,89,"44,704",0
令和3年,"46,667","44,755","1,520",10,6,16,12,251,97,"46,667",0
特別区,36277,34940,1021,8,1,16,11,202,78,36277,0
丸の内,49,34,14,0,0,0,0,0,1,49,0
麹町,117,108,7,0,0,0,1,1,0,117,0
神田,114,104,3,0,0,0,0,7,0,114,0
京橋,121,108,9,0,0,0,0,4,0,121,0
日本橋,117,105,6,0,0,0,1,5,0,117,0
臨港,158,151,5,0,0,0,0,2,0,158,0
芝,260,231,24,0,0,0,0,4,1,260,0
麻布,157,131,16,0,0,0,1,8,1,157,0
赤坂,201,165,31,0,0,0,0,3,2,201,0
高輪,159,144,14,0,0,0,0,1,0,159,0
品川,377,351,12,0,0,0,2,11,1,377,0
大井,370,335,35,0,0,0,0,0,0,370,0
荏原,611,601,5,0,0,0,1,4,0,611,0
大森,849,817,31,0,0,0,0,1,0,849,0
田園調布,975,949,25,0,0,0,0,1,0,975,0
蒲田,506,489,14,0,0,0,0,3,0,506,0
矢口,490,477,13,0,0,0,0,0,0,490,0
目黒,"1,130","1,067",55,0,0,0,0,4,4,"1,130",0
世田谷,"1,782","1,744",32,0,0,1,0,4,1,"1,782",0
玉川,"1,162","1,141",16,0,0,0,0,3,2,"1,162",0
成城,1152,1132,18,0,0,1,0,1,0,1152,0
渋谷,811,732,56,0,0,2,3,18,0,811,0
四谷,192,175,10,0,0,0,1,6,0,192,0
牛込,294,288,3,0,0,0,0,3,0,294,0
新宿,620,581,24,0,0,0,0,8,7,620,0
中野,474,468,3,0,0,0,0,2,1,474,0
野方,739,732,7,0,0,0,0,0,0,739,0
杉並,"1,526","1,461",59,0,0,0,0,5,1,"1,526",0
荻窪,1303,1276,25,0,0,0,0,1,1,1303,0
小石川,436,423,11,0,0,0,0,0,2,436,0
本郷,317,304,5,6,0,0,0,2,0,317,0
豊島,516,502,8,0,0,0,0,5,1,516,0
池袋,505,491,11,0,0,0,0,0,3,505,0
王子,463,454,5,0,0,0,0,3,1,463,0
赤羽,497,486,10,0,0,0,0,1,0,497,0
滝野川,399,369,24,0,0,0,0,6,0,399,0
板橋,783,769,11,0,0,0,0,3,0,783,0
志村,"1,085",1043,28,0,1,11,0,1,1,"1,085",0
練馬,948,900,39,0,0,0,0,9,0,948,0
光が丘,601,588,11,0,0,0,0,2,0,601,0
石神井,1535,1512,19,2,0,0,0,1,1,1535,0
上野,266,248,8,0,0,1,0,8,1,266,0
浅草,197,192,3,0,0,0,0,2,0,197,0
日本堤,196,187,4,0,0,0,0,5,0,196,0
荒川,472,459,12,0,0,0,0,1,0,472,0
尾久,388,367,21,0,0,0,0,0,0,388,0
千住,371,351,12,0,0,0,0,0,8,371,0
足立,"1,417","1,362",31,0,0,0,0,3,21,"1,417",0
西新井,1260,1238,20,0,0,0,0,2,0,1260,0
本所,434,410,9,0,0,0,0,6,9,434,0
向島,585,572,13,0,0,0,0,0,0,585,0
深川,697,662,26,0,0,0,0,9,0,697,0
城東,574,554,13,0,0,0,0,3,4,574,0
本田,1292,1278,11,0,0,0,0,3,0,1292,0
金町,794,784,9,0,0,0,0,1,0,794,0
江戸川,914,876,33,0,0,0,1,4,0,914,0
葛西,599,562,25,0,0,0,0,9,3,599,0
小岩,920,900,17,0,0,0,0,3,0,920,0
受託地区,10390,9815,499,2,5,0,1,49,19,10390,0
立川,948,869,74,0,0,0,0,1,4,948,0
武蔵野,403,375,23,0,1,0,0,4,0,403,0
三鷹,540,516,23,0,0,0,0,0,1,540,0
府中,866,783,76,2,0,0,0,3,2,866,0
昭島,344,328,10,0,0,0,0,6,0,344,0
調布,568,536,28,0,0,0,0,3,1,568,0
小金井,299,296,0,0,0,0,0,2,1,299,0
小平,438,394,37,0,0,0,0,2,5,438,0
東村山,265,248,15,0,0,0,0,1,1,265,0
国分寺,253,239,12,0,0,0,0,2,0,253,0
狛江,108,95,13,0,0,0,0,0,0,108,0
北多摩西部,328,315,13,0,0,0,0,0,0,328,0
清瀬,392,385,7,0,0,0,0,0,0,392,0
東久留米,272,256,15,0,0,0,0,1,0,272,0
西東京,620,603,16,0,0,0,0,1,0,620,0
八王子,1224,1178,35,0,0,0,0,8,3,1224,0
青梅,398,363,35,0,0,0,0,0,0,398,0
町田,620,589,23,0,0,0,1,7,0,620,0
日野,326,311,11,0,2,0,0,2,0,326,0
福生,637,614,20,0,0,0,0,3,0,637,0
多摩,270,259,7,0,2,0,0,2,0,270,0
秋川,271,263,6,0,0,0,0,1,1,271,0
奥多摩,0,0,0,0,0,0,0,0,0,0,0
