出火階,火災件数計,火災件数・地下階層・地下1階,火災件数・地下階層・地下2階,火災件数・地下階層・地下3階,火災件数・地下階層・地下4階,火災件数・地下階層・地下5階,"火災件数・地下階層・地下6階以上","火災件数・地上階層・地上階なし",火災件数・地上階層・1階建,火災件数・地上階層・2階建,火災件数・地上階層・3階建,火災件数・地上階層・4階建,火災件数・地上階層・5階建,火災件数・地上階層・6階建,火災件数・地上階層・7階建,火災件数・地上階層・8階建,火災件数・地上階層・9階建,火災件数・地上階層・10階建,火災件数・地上階層・11階建,火災件数・地上階層・12階建,火災件数・地上階層・13階建,火災件数・地上階層・14階建,火災件数・地上階層・15階以上,火災件数・焼損程度・全焼,火災件数・焼損程度・半焼,部分焼,ぼや,焼損棟数,り災世帯数,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成29年,800,480,158,69,61,21,11,1,10,42,54,52,66,53,52,58,50,31,26,28,14,45,218,-,2,78,720,805,342,612,995,"664,391,490",5,147
平成30年,755,440,143,59,67,36,10,1,5,33,59,49,55,47,45,58,53,33,40,18,20,32,207,-,3,69,683,762,257,483,"1,455","2,960,909,311",13,190
令和元年,898,487,197,88,74,38,14,4,9,34,67,50,59,61,56,66,63,45,32,24,22,36,270,3,3,83,809,915,286,547,"1,517","805,188,338",9,121
令和2年,787,463,142,90,57,28,7,3,17,36,44,60,55,64,50,44,54,41,23,21,19,41,215,1,3,63,720,795,276,529,"3,651","2,879,300,988",3,94
令和3年,862,493,155,99,70,33,12,1,15,51,48,50,53,52,56,71,78,47,30,19,14,37,240,2,2,48,810,866,270,544,646,"1,100,536,541",1,104
51階,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,100,-,-
48階,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1,5,-,1280,-,-
47階,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,800,-,-
45階,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,8300,-,-
40階,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,800,-,-
37階,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,100,-,-
35階,3,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,3,1,2,-,"21,700",-,-
33階,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,1,2,-,87340,-,-
30階,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,2,1,2,-,"434,500",-,1
29階,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,2,1,1,-,4100,-,-
28階,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,2,1,3,-,"3,700",-,-
27階,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,25000,-,-
26階,2,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,2,1,1,-,700,-,-
25階,3,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,3,1,5,-,600,-,-
24階,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,"2,700",-,-
23階,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,3,1,2,-,9000,-,1
22階,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,36500,-,-
