23区,29_区,29_件数,30_区,30_件数,元_区,元_件数,2_区,2_件数,3_区,3_件数
1,足立区,235,大田区,196,新宿区,216,足立区,183,港区,213
2,港区,207,港区,193,世田谷区,212,港区,181,新宿区,199
3,大田区,204,世田谷区,188,足立区,190,新宿区,180,世田谷区,196
4,新宿区,198,足立区,187,港区,176,世田谷区,169,大田区,175
5,世田谷区,184,新宿区,179,大田区,171,大田区,168,足立区,174
