消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（1）,（六）・イ・（2）,（六）・イ・（3）,（六）・イ・（4）,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,十七,十八,十九,二十,危険物製造所等_製造所,危険物製造所等_貯蔵所,危険物製造所等_取扱所,少量危険物等_運搬,少量危険物等_貯蔵取扱所少量危険物,少量危険物等_貯蔵取扱所指定可燃物
令和3年度,"15,405",4,1,0,10,0,12,2,129,142,117,"8,173",5,2,5,25,35,0,0,1,9,3,0,35,3,12,11,208,38,1,7,6,203,85,1,93,0,125,1017,826,3340,0,0,10,1,0,0,1,163,544,0,0,0
特別区,"10,900",2,1,0,8,0,9,2,99,79,91,"6,079",2,1,4,14,22,0,0,0,2,2,0,25,3,9,9,115,5,1,7,3,152,50,1,68,0,61,708,666,2083,0,0,4,1,0,0,1,132,379,0,0,0
丸の内,59,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,18,20,0,0,0
麹町,68,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,31,2,7,0,0,0,0,0,0,0,4,14,0,0,0
神田,34,0,0,0,0,0,0,0,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1,13,1,4,0,0,0,0,0,0,0,0,1,0,0,0
京橋,275,0,0,0,0,0,2,1,7,10,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,2,0,2,80,108,16,0,0,0,0,0,0,0,3,6,0,0,0
日本橋,34,0,0,0,0,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,1,0,0,0,0,0,0,0,1,2,0,0,0
臨港,59,0,0,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,6,1,8,0,0,1,0,0,0,0,8,5,0,0,0
芝,97,0,0,0,0,0,0,0,2,0,4,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,9,2,0,0,0,0,0,0,0,1,2,0,0,0
麻布,106,0,0,0,0,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,16,0,27,0,0,0,0,0,0,0,10,5,0,0,0
