時間帯(時台),出場件数,構成比
0,21337,2.9
1,18260,2.5
2,16039,2.2
3,14656,2
4,14363,1.9
5,16178,2.2
6,20097,2.7
7,26074,3.5
8,33924,4.6
9,41701,5.6
10,44226,5.9
11,42383,5.7
12,41599,5.6
13,40730,5.5
14,39158,5.3
15,38667,5.2
16,38769,5.2
17,39582,5.3
18,38608,5.2
19,37249,5
20,34748,4.7
21,32273,4.3
22,28240,3.8
23,24842,3.3
合計,743703,100
