行政区,救命講習受講優良証交付事業所等一覧
足立区,（株）ルミネクリエーツ北千住営業所
足立区,足立成和信用金庫
足立区,アパホテル綾瀬駅前
足立区,一般財団法人海外産業人材育成協会東京研修センター
足立区,株式会社アスク
足立区,株式会社織田タクシー
足立区,株式会社ティー・エム・エンタープライズ花畑地域学習センター
足立区,株式会社ルミネ北千住店
足立区,ｼﾞｪｲｱｰﾙ東日本ビルテック株式会社東京検査ｾﾝﾀｰ
足立区,ｼﾞｪｲｱｰﾙ東日本ビルテック株式会社東京事業センター
足立区,ｼﾞｪｲｱｰﾙ東日本ビルテック株式会社ルミネ北千住事業所
足立区,社会福祉法人白寿会特別養護老人ホームプレミア扇
足立区,社会福祉法人東京都知的障害者育成会足立区綾瀬福祉園
足立区,首都圏新都市鉄道株式会社北千住駅務管理所
足立区,青和観光株式会社　入谷営業所
足立区,政和自動車株式会社
足立区,清和石油販売株式会社
足立区,東京地下鉄株式会社綾瀬運転事務室
足立区,東京地下鉄株式会社綾瀬車両管理所
足立区,東京地下鉄株式会社北千住駅務管区
足立区,東京地下鉄株式会千代田線乗務管区綾瀬車掌事務所
足立区,東京都立足立特別支援学校
足立区,東京パッセンジャー株式会社
足立区,東武鉄道株式会社　東武北千住駅
足立区,特別区社会福祉事業団　更生施設　本木荘
足立区,特別区社会福祉事業団　宿所提供施設　西新井栄荘
足立区,特別区社会福祉事業団　宿泊所　綾瀬荘
足立区,東日本旅客鉄道株式会社北千住駅
足立区,冨士自動車株式会社観光部
足立区,訪問看護リハビリステーション白樺
足立区,有限会社ウスバ石油
足立区,有限会社福澄礦油店
足立区,株式会社　亜希プロ
足立区,㈱ティ－・エム・エンタープライズ足立区興本地域学習センター
足立区,㈱ティ－・エム・エンタープライズ足立区江北地域学習センター
足立区,㈱ティ－・エム・エンタープライズ東京マリン江北フィットネス
足立区,㈱ティ－・エム・エンタープライズ東京マリン舎人スイミング
足立区,㈱ティ－・エム・エンタープライズ東京マリン西新井スイミング
足立区,社会福祉法人長寿村特別養護老人ﾎｰﾑ足立翔裕園
荒川区,アパホテル　TKP日暮里駅前
荒川区,荒川区役所
荒川区,あらかわ遊園スポーツハウス
荒川区,尾久ふれあい館
荒川区,株式会社　東風谷製作所
荒川区,グローバルキッズ日暮里駅前保育園
荒川区,東京地下鉄株式会社千住検車区
荒川区,東京都交通局電車部日暮里舎人営業所
荒川区,東和興産株式会社プレステージ三ノ輪SS
荒川区,東和興産株式会社本社
荒川区,にじの樹保育園
荒川区,ホテルラングウッド
荒川区,有限会社　小平モータース
荒川区,吉池製作所
荒川区,東京都交通局電車部荒川電車営業所
板橋区,あいあい保育園
板橋区,板橋区役所
板橋区,株式会社サンベスト東信（志村中央給油所）
板橋区,株式会社セグリダ
板橋区,小茂根の郷
板橋区,サンシティ管理組合
板橋区,社会福祉法人聖マリアの家聖マリア保育園
板橋区,新進タクシー株式会社
板橋区,大東実業株式会社
板橋区,天理教大禮分協会大禮保育園
板橋区,東京都交通局電車部高島平乗務管理所
板橋区,特別区社会福祉事業団　宿泊提供施設　小豆沢荘
板橋区,成増南商店街振興組合
板橋区,ニッカ株式会社(本社）
板橋区,浜友観光株式会社楽園大山店
板橋区,平岩石油販売株式会社板橋給油所
板橋区,平岩石油販売㈱東坂下SS
板橋区,丸富興業株式会社サービスステーション高島平２１
板橋区,有限会社 浅川商店
