業態,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積(㎡)",損害額（円）・建物(収容物含む),損害額（円）・建物以外,死者,負傷者
平成29年,"4,204","2,837",84,77,474,"2,202",3,216,0,0,1148,"20,719","4,837,506,613","309,542,939",79,758
平成30年,"3,972","2,696",64,87,447,"2,098",2,225,3,0,"1,046","18,604","5,830,089,126","240,893,724",86,798
令和元年,"4,085","2,904",81,83,455,"2,285",5,206,1,-,969,"18,295","7,510,880,651","178,060,769",108,705
令和2年,"3,693","2,667",63,73,404,"2,127",1,216,0,0,809,"16,136","5,479,257,521","108,686,656",86,710
令和3年,"3,935","2,812",71,76,349,"2,316",6,215,1,-,901,"16,448","4,016,791,230","191,220,865",86,664
業態別計,"1,254",940,10,9,90,831,-,113,1,-,200,"2,334","1,548,747,744","56,777,367",2,126
農業,10,2,2,-,-,-,-,2,-,-,6,101,"12,960,300","695,680",-,1
農業_農業,10,2,2,-,-,-,-,2,-,-,6,101,"12,960,300","695,680",-,1
鉱業,7,5,-,-,1,4,-,2,-,-,-,-,"58,079,200",161300,-,-
鉱業_鉱業,7,5,-,-,1,4,-,2,-,-,-,-,"58,079,200",161300,-,-
建設業,76,33,3,2,6,22,-,18,-,-,25,395,"59,788,560","11,805,290",-,7
建設業_総合工事業,35,16,1,-,4,11,-,4,-,-,15,124,"16,944,560","2,983,190",-,5
建設業_職別工事業（設備工事業を除く）,25,9,2,-,1,6,-,7,-,-,9,182,"29,979,000","7,383,400",-,-
建設業_設備工事業,16,8,-,2,1,5,-,7,-,-,1,89,"12,865,000","1,438,700",-,2
製造業,80,72,1,2,6,63,-,2,1,-,5,263,"101,979,517","2,198,530",1,18
製造業_食料品製造業,7,7,-,-,-,7,-,-,-,-,-,-,"1,555,660",-,-,-
製造業_飲料・たばこ・飼料製造業,1,1,-,-,-,1,-,-,-,-,-,-,"102,400",-,-,1
製造業_繊維工業（衣服，その他の繊維製品を除く）,1,1,1,-,-,-,-,-,-,-,-,64,"1,414,700",3700,-,-
製造業_衣類・その他の繊維製品製造業,1,1,-,-,-,1,-,-,-,-,-,-,24300,-,-,-
製造業_木材・木製品製造業,1,1,-,-,-,1,-,-,-,-,-,-,25000,-,-,-
製造業_家具・装備品製造業,2,1,-,-,-,1,-,1,-,-,-,-,"12,000",13760,-,-
