年次,機上設備数,機上設備の使用状況・計,機上設備の使用状況・災害,機上設備の使用状況・警戒,機上設備の使用状況・訓練(演習),機上設備の使用状況・その他(テスト・空撮)
平成29年,4,87,49,4,20,14
平成30年,4,45,31,1,10,3
令和元年,4,113,59,18,19,17
令和2年,4,80,31,1,36,12
令和3年,4,101,66,1,25,9
