消防署,消火設備・屋内消火栓設備・対象物数,消火設備・屋内消火栓設備・設備数,消火設備・スプリンクラー設備・対象物数,消火設備・スプリンクラー設備・設備数,消火設備・水噴霧消火設備・対象物数,消火設備・水噴霧消火設備・設備数,消火設備・泡消火設備・対象物数,消火設備・泡消火設備・設備数,消火設備・二酸化炭素消火設備・対象物数,消火設備・二酸化炭素消火設備・設備数,消火設備・ハロゲン化物消火設備・対象物数,消火設備・ハロゲン化物消火設備・設備数,消火設備・粉末消火設備・対象物数,消火設備・粉末消火設備・設備数,消火設備・屋外消火栓設備・対象物数,消火設備・屋外消火栓設備・設備数,消火設備・動力消防ポンプ設備・対象物数,消火設備・動力消防ポンプ設備・設備数
平成29年度,"47,728","45,093","16,950","20,823",173,324,"4,394","6,168","4,109","5,909","7,147","11,282","14,944","33,599","1,363","1,222","1,102",592
平成30年度,"47,786","43,751","17,689","18,095",178,326,"4,414","4,932","4,073","5,789","7,136","11,012","15,372","31,533","1,362","1,219","1,081",580
令和元年度,"47,797","38,969","18,322","15,875",176,138,"4,447","4,375","4,016","4,632","7,151","9,259","15,739","21,715","1,381","1,200","1,013",591
令和2年度,"47,892","38,964","18,841","16,425",179,142,"4,457","4,386","3,985","4,526","7,110","8,974","15,996","21,587","1,386","1,221","1,034",605
令和3年度,"48,090","38,943","19,349","16,953",179,142,"4,469","4,412","3,903","4,399","7,087","8,812","16,276","21,423",1383,1225,1038,607
特別区,36930,31200,15842,13886,145,97,3806,3781,3469,3932,6148,7645,11950,15973,831,756,396,283
丸の内,187,205,165,206,15,13,84,84,45,90,90,178,44,62,1,0,0,0
麹町,747,685,387,419,3,1,166,162,121,162,283,366,180,174,10,9,2,0
神田,947,881,551,522,2,2,85,82,209,207,277,291,215,210,0,0,0,0
京橋,932,843,735,660,3,3,122,128,189,210,278,349,267,294,5,5,0,0
日本橋,972,962,574,545,4,3,112,110,189,226,279,334,216,227,2,2,0,0
臨港,259,321,166,144,2,2,62,61,44,56,26,32,86,144,1,1,8,8
芝,1098,1096,686,689,6,5,219,219,231,258,395,476,377,522,8,8,14,6
麻布,628,545,349,305,8,6,129,114,79,74,158,179,135,137,6,6,0,0
赤坂,572,549,292,290,6,9,134,129,92,96,147,151,141,130,4,3,2,1
高輪,590,477,287,242,6,2,97,97,90,137,125,147,142,204,17,19,16,5
品川,885,740,411,315,3,3,143,139,133,172,195,238,235,271,4,4,2,4
大井,480,392,202,153,0,0,44,54,28,27,95,112,193,235,42,32,1,1
荏原,284,238,135,112,1,0,23,23,14,14,45,46,88,114,4,4,0,0
大森,892,771,223,185,3,2,70,67,97,85,96,100,348,617,83,86,18,12
田園調布,530,360,102,82,0,0,42,42,11,9,59,71,216,262,0,0,3,3
蒲田,642,481,200,167,3,2,57,58,55,65,77,100,284,373,54,61,4,4
矢口,383,318,144,124,2,1,18,19,21,21,34,32,148,178,6,6,1,1
目黒,934,860,231,201,1,1,106,100,67,65,148,189,280,295,4,4,0,0
世田谷,1086,793,266,227,0,0,107,106,66,57,113,155,323,380,13,12,12,2
玉川,697,536,153,156,0,0,80,98,21,23,100,164,298,394,7,8,1,1
成城,640,421,202,194,1,1,63,63,15,19,57,66,271,282,25,18,9,1
渋谷,1862,1689,769,691,9,8,304,285,252,281,457,628,487,526,9,8,0,0
四谷,489,476,226,216,5,4,44,44,66,66,130,128,98,99,6,6,0,0
牛込,640,553,271,260,2,3,57,59,66,66,99,92,128,121,7,6,0,0
新宿,1202,1169,603,578,3,0,164,165,117,138,240,428,311,351,5,4,2,2
中野,528,399,193,153,0,0,45,41,27,31,56,65,136,140,5,5,0,0
野方,255,208,80,73,0,0,22,22,11,11,30,25,90,119,4,6,1,1
杉並,691,583,228,188,4,2,65,61,33,30,67,88,226,285,15,14,0,0
荻窪,491,342,166,136,0,0,41,35,27,26,50,64,152,234,6,3,0,0
小石川,679,635,303,263,0,0,81,77,62,70,143,162,119,131,11,8,3,3
本郷,671,588,359,295,2,2,39,39,67,68,127,132,137,134,9,5,11,2
豊島,778,680,359,301,1,0,53,51,81,83,188,205,192,185,4,3,0,0
池袋,430,375,189,152,0,0,27,26,25,31,61,71,141,146,6,5,1,1
王子,332,295,136,102,0,0,20,18,23,20,47,64,120,193,11,7,6,4
赤羽,439,290,161,119,4,3,24,24,32,48,34,44,162,232,10,11,5,5
滝野川,270,235,134,117,0,0,21,20,22,22,47,64,68,98,2,1,7,7
板橋,522,415,215,178,0,0,35,33,41,36,72,66,195,164,12,9,12,4
志村,1225,815,320,236,4,1,67,66,38,44,95,108,477,470,36,21,18,17
練馬,626,381,175,146,1,0,38,45,21,22,54,67,234,293,14,15,3,2
光が丘,384,291,133,63,1,0,37,36,14,14,26,25,183,291,3,3,4,3
石神井,545,275,200,163,0,0,28,25,11,10,28,35,180,200,6,3,5,0
上野,652,581,491,337,2,2,44,38,86,93,159,184,143,159,18,18,2,3
浅草,382,314,288,283,1,1,18,18,47,46,85,82,94,91,0,0,1,1
日本堤,254,213,209,143,0,0,16,16,18,17,36,44,66,67,2,2,4,4
荒川,439,340,224,156,0,0,29,28,31,33,40,36,136,143,5,5,1,1
尾久,181,138,77,63,0,0,2,2,11,11,12,12,67,65,1,1,2,1
千住,378,412,169,115,5,0,25,59,17,16,26,53,134,450,20,18,13,12
足立,1018,529,319,224,1,0,35,32,22,23,50,69,375,588,13,12,15,14
西新井,456,290,160,147,2,1,24,23,10,8,15,14,185,242,27,26,47,30
本所,717,569,389,288,4,2,68,66,62,82,94,106,163,167,6,6,5,2
向島,325,288,140,122,0,0,18,20,15,14,24,28,100,141,18,23,4,4
深川,"1,167",1572,447,755,8,4,165,165,118,198,183,342,529,"1,573",91,94,26,23
城東,1080,817,473,238,5,2,72,78,68,82,107,140,454,881,68,57,48,41
本田,474,425,167,158,7,5,22,23,18,16,38,22,297,290,6,5,11,11
金町,351,215,122,132,0,0,11,11,19,28,23,22,130,194,6,5,5,5
江戸川,506,409,142,104,1,1,31,29,15,16,22,24,252,259,21,20,16,15
葛西,756,651,210,143,4,0,35,31,45,47,76,98,341,584,31,15,18,11
小岩,350,269,134,110,0,0,16,15,14,12,30,32,161,162,21,18,7,5
受託地区,"11,160",7743,3507,3067,34,45,663,631,434,467,939,1167,4326,5450,552,469,642,324
立川,953,716,270,272,2,2,57,54,72,72,124,128,362,402,29,27,100,52
武蔵野,524,413,148,146,2,0,43,40,28,35,69,78,165,190,6,5,0,0
三鷹,388,343,141,123,0,0,26,24,18,20,41,47,208,304,18,14,14,7
府中,812,475,244,178,6,1,71,63,44,57,77,131,333,442,90,66,36,27
昭島,343,274,102,70,1,1,17,16,10,9,24,23,147,343,31,29,56,23
