消防署,木造・防火造・準耐火造・計画件数,木造・防火造・準耐火造・棟数,"木造・防火造・準耐火造・建築面積(㎡)","木造・防火造・準耐火造・延べ面積（㎡）",耐火造・計画件数,耐火造・棟数,"耐火造・建築面積(㎡)","耐火造・延べ面積（㎡）","危険物等関係施設・計画件数","危険物等関係施設・棟数","放射性物質関係施設・計画件数","放射性物質関係施設・棟数",その他の対象物計画件数
計,56,63,36457,53879,3081,3189,10258503,75374787,95,101,68,79,241
特別区,36,39,23511,35868,2257,2302,7429131,64268211,73,78,55,65,179
丸の内,0,0,0,0,72,72,326959,5487922,4,4,0,0,10
麹町,1,1,1625,1928,47,47,193243,2268947,0,0,0,0,3
神田,0,0,0,0,38,38,88761,1224288,0,0,1,1,8
京橋,1,1,1462,2278,74,74,125548,1688863,1,1,2,2,0
日本橋,0,0,0,0,49,49,133487,2124404,0,0,0,0,3
臨港,0,0,0,0,38,38,103722,1468080,0,0,0,0,0
芝,0,0,0,0,68,71,410671,4955849,11,11,1,1,3
麻布,0,0,0,0,46,46,141304,1731569,0,0,0,0,0
赤坂,1,1,168,399,48,48,196182,2774833,0,0,0,0,3
高輪,0,0,0,0,49,49,194501,2358080,0,0,3,3,2
品川,0,0,0,0,50,50,252462,3152049,7,7,0,0,4
大井,0,0,0,0,31,33,105062,703498,1,1,0,0,3
荏原,1,1,102,204,15,17,35299,262055,0,0,0,0,1
大森,0,0,0,0,58,58,211514,1011546,1,1,0,0,23
田園調布,0,0,0,0,18,18,33512,172111,1,1,0,0,1
蒲田,0,0,0,0,43,43,449993,1773477,3,3,0,0,1
矢口,0,0,0,0,27,27,38279,202718,0,0,0,0,12
目黒,0,0,0,0,26,29,77942,564518,0,0,6,15,2
世田谷,1,1,309,320,30,31,65930,349354,1,1,1,1,4
玉川,1,1,789,473,13,13,52795,375035,0,0,0,0,3
成城,0,0,0,0,39,41,87384,379095,0,0,0,0,2
渋谷,2,2,2449,2528,100,101,371882,3673620,0,0,1,1,4
四谷,1,1,480,480,40,40,52804,489617,0,0,4,4,0
牛込,1,1,588,769,30,33,93333,620306,3,6,2,2,0
新宿,0,0,0,0,152,152,414310,6638556,0,0,0,0,2
中野,0,0,0,0,30,31,73451,674744,0,0,0,0,1
野方,0,0,0,0,18,18,31670,169960,1,1,0,0,0
杉並,1,3,932,968,39,40,85335,333366,3,3,2,2,4
荻窪,0,0,0,0,26,26,44505,204446,0,0,0,0,2
小石川,3,3,1680,2201,43,43,168753,1143201,1,1,2,3,2
本郷,2,2,1162,2629,32,33,117463,949566,6,6,23,23,6
豊島,1,1,317,317,43,43,119382,1542460,0,0,0,0,1
池袋,2,2,3515,7502,42,42,83101,705367,0,0,1,1,1
王子,0,0,0,0,17,17,55497,209268,1,1,0,0,1
赤羽,0,0,0,0,27,28,71704,368802,4,4,1,1,0
滝野川,0,0,0,0,10,10,17147,87876,1,1,0,0,0
