出場先区市,件数(件),出場件数（百件）
千代田区,9657,97
中央区,11560,116
港区,18748,187
新宿区,29765,298
文京区,11425,114
台東区,16340,163
墨田区,16375,164
江東区,28163,282
品川区,20339,203
目黒区,13367,134
大田区,38446,384
世田谷区,41962,420
渋谷区,17328,173
中野区,18116,181
杉並区,25904,259
豊島区,18872,189
北区,20988,210
荒川区,12625,126
板橋区,31434,314
練馬区,35595,356
足立区,42443,424
葛飾区,26852,269
江戸川区,36020,360
八王子市,28521,285
立川市,11111,111
武蔵野市,7416,74
三鷹市,8623,86
青梅市,6217,62
府中市,11584,116
昭島市,5770,58
調布市,11069,111
町田市,20950,210
小金井市,5028,50
小平市,9436,94
日野市,7966,80
東村山市,8092,81
国分寺市,5144,51
国立市,3633,36
福生市,2932,29
狛江市,3645,36
東大和市,4242,42
清瀬市,4111,41
東久留米市,6018,60
武蔵村山市,3691,37
多摩市,7454,75
羽村市,2544,25
あきる野市,3305,33
西東京市,9564,96
瑞穂町,1503,15
日の出町,817,8
檜原村,209,2
奥多摩町,550,6
