消防署,署所数,管内面積（km2）,人口,世帯,構造別建物棟数・計,構造別建物棟数・木造,構造別建物棟数・防火造,構造別建物棟数・準耐火造,構造別建物棟数・耐火造
合計,292,1769.38,13677374,7298003,2815901,194548,1552999,610556,457798
特別区,214,627.53,9522872,5254558,1763564,85772,881562,420670,375560
丸の内,2,3.77,136,128,501,38,23,74,366
麹町,2,4.43,34342,17097,3406,71,298,220,2817
神田,3,3.46,32571,20548,7813,117,1089,276,6331
京橋,3,3.85,41545,25697,6669,153,1248,442,4826
日本橋,4,3.2,52034,31139,6892,104,1089,475,5224
臨港,2,6.64,77840,39699,3718,276,1596,507,1339
芝,3,7.24,87789,50877,9005,360,1652,778,6215
麻布,2,3.79,60005,35533,7565,258,1724,894,4689
赤坂,2,4.09,37486,21653,5611,184,1122,518,3787
高輪,4,5.25,71903,37888,7330,398,1875,1832,3225
品川,4,8.17,144120,80298,18243,809,7990,3698,5746
大井,3,8.86,115979,63297,16505,700,9163,2788,3854
荏原,4,5.81,143600,83263,30829,1067,18813,5585,5364
大森,5,19.34,228583,126035,42420,2933,23416,9197,6874
田園調布,3,11.95,206950,106794,41563,2425,24966,8688,5484
蒲田,4,23.59,166034,95762,29169,2238,13942,6913,6076
矢口,4,6.98,127136,69663,21282,1127,11011,5166,3978
目黒,5,14.67,278276,156910,50826,1676,19443,15989,13718
世田谷,6,22.03,422455,242385,83521,3327,45934,20225,14035
玉川,4,15.81,225845,113832,43432,2068,22983,10944,7437
成城,3,20.21,267908,133155,50306,2778,30233,10969,6326
渋谷,6,15.11,229013,139386,37683,567,12877,6274,17965
四谷,2,3.21,39699,25620,7530,92,2255,1623,3560
牛込,2,5.21,107155,64324,16024,270,5141,4267,6346
新宿,5,9.8,194368,126959,30348,663,10837,7835,11013
中野,4,6.46,156508,100359,26862,1001,14069,5041,6751
野方,4,9.13,175509,105702,37669,2425,20523,8326,6395
杉並,7,19.02,329953,193238,69619,3574,44011,13466,8568
荻窪,5,15.04,239750,130464,52517,2648,33536,10020,6313
小石川,3,6.57,128732,69207,20101,578,8199,4571,6753
本郷,3,4.72,97600,53992,18264,567,6740,4549,6408
豊島,3,6.83,147965,91576,24627,551,9549,5008,9519
池袋,3,6.18,135377,84677,28131,894,11419,7846,7972
王子,3,6.27,115355,66435,22766,615,12008,5343,4800
赤羽,5,9.31,137361,75084,25021,723,12019,7301,4978
滝野川,3,5.03,98562,57448,21661,522,10647,5421,5071
板橋,3,9.67,207437,122359,40847,1768,19213,11741,8125
志村,6,22.55,359777,194135,61729,2842,27445,22020,9422
練馬,3,13.95,255725,142921,46999,3732,26186,8413,8668
光が丘,2,10.98,165758,81163,29608,2878,19692,3200,3838
石神井,5,23.15,316875,157746,75683,7123,52841,7667,8052
上野,3,4.81,84279,50765,16904,1093,5962,3267,6582
浅草,2,2.49,58114,35675,10207,433,3250,1216,5308
日本堤,3,2.81,61316,37741,12671,416,5401,2314,4540
荒川,5,6.15,132361,72468,23407,869,10218,7725,4595
尾久,3,4.01,83182,44621,19320,543,8431,7771,2575
千住,3,9.01,104724,55530,22178,1264,11548,5272,4094
足立,5,24.52,366448,193833,71184,3578,32885,23547,11174
西新井,5,19.72,217934,110560,55871,2757,30980,15432,6702
本所,4,6.45,151989,91057,20230,434,5976,5086,8734
向島,3,7.32,123735,65958,26580,1287,13123,9342,2828
深川,6,25.85,281737,146344,25965,584,8399,6616,10366
城東,4,18.36,244215,130133,33491,1233,14605,9590,8063
本田,5,20.25,287827,152336,69546,3935,37801,17314,10496
金町,4,14.55,174256,87286,40444,2331,22660,9680,5773
江戸川,3,17.98,226094,112128,52668,2868,27099,17082,5619
葛西,3,16.63,258116,129385,31071,1648,15925,8774,4724
小岩,4,15.29,205529,104290,51532,3359,28482,14532,5159
受託地区,78,1141.85,4154502,2043445,1052337,108776,671437,189886,82238
立川,5,32.51,261441,133639,58796,4332,34833,12516,7115
武蔵野,3,10.98,148025,78187,27640,1742,17622,4045,4231
三鷹,4,16.42,190590,96169,39406,3381,27024,5827,3174
府中,5,29.43,260253,127939,56709,5106,32687,13028,5888
昭島,3,17.34,113829,55690,28331,3288,14641,7272,3130
調布,4,21.58,237939,121783,45086,3377,31488,5824,4397
小金井,2,11.3,124617,62328,28220,2265,19967,3735,2253
小平,3,20.51,195361,94183,48610,3694,25144,17133,2639
東村山,3,17.14,151695,74846,39705,3406,20589,12728,2982
国分寺,3,11.46,127792,62992,31338,2164,19269,7643,2262
狛江,2,6.39,83022,43134,17730,1867,12769,1701,1393
北多摩西部,3,28.74,157157,72422,46303,4206,29702,9601,2794
清瀬,2,10.23,74948,36502,18040,2581,12672,1325,1462
東久留米,2,12.88,117091,55777,29845,2311,22761,2727,2046
西東京,4,15.75,205805,100394,44390,4047,32642,4103,3598
八王子,8,186.38,561758,276046,152196,18974,104751,16847,11624
青梅,3,103.31,131124,64324,48102,7617,33121,4873,2491
町田,6,71.55,430385,202985,118561,9924,71841,30655,6141
日野,3,27.55,187304,91736,47151,2912,33994,6895,3350
福生,4,36.91,143211,71199,48674,6343,29140,9743,3448
多摩,2,21.01,147528,73460,21461,1111,12416,4250,3684
秋川,3,206.95,98730,45090,51285,11899,30691,6753,1942
奥多摩,1,225.53,4897,2620,4758,2229,1673,662,194
