消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（1）,（六）・イ・（2）,（六）・イ・（3）,（六）・イ・（4）,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十六の二,十六の三,十七,十八,十九,二十,危険物製造所等_製造所,危険物製造所等_貯蔵所,危険物製造所等_取扱所,少量危険物等_運搬,少量危険物等_貯蔵取扱所少量危険物,少量危険物等_貯蔵取扱所指定可燃物
令和3年度,"7,696",18,2,11,38,4,37,5,666,338,320,242,10,8,39,35,119,4,0,0,16,21,1,37,2,37,45,28,3,166,1,18,17,45,0,13,0,36,212,4416,184,0,0,11,0,0,0,0,359,132,0,0,0
特別区,"6,414",8,1,8,32,4,34,5,593,241,297,170,8,7,28,22,98,2,0,0,6,17,0,26,1,20,37,8,2,166,0,17,11,31,0,12,0,27,167,3771,138,0,0,6,0,0,0,0,304,89,0,0,0
丸の内,47,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,36,1,0,0,0,0,0,0,0,0,0,0,0,0
麹町,87,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,8,56,7,0,0,0,0,0,0,0,4,1,0,0,0
神田,331,0,0,0,1,0,5,0,35,23,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,249,1,0,0,0,0,0,0,0,8,0,0,0,0
京橋,272,0,0,0,0,0,0,1,19,7,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,235,0,0,0,0,0,0,0,0,2,0,0,0,0
日本橋,73,0,0,0,0,0,0,0,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,46,2,0,0,0,0,0,0,0,0,0,0,0,0
臨港,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0
芝,231,0,0,0,0,1,4,0,49,1,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,164,1,0,0,0,0,0,0,0,3,0,0,0,0
麻布,252,0,0,0,0,0,0,0,37,2,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,187,5,0,0,0,0,0,0,0,7,0,0,0,0
赤坂,89,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,69,1,0,0,0,0,0,0,0,5,0,0,0,0
