消防署,"計・水防件数",計・出場人員,"計・延べ時間（時間：分）",水防工法・水防件数,水防工法・出場人員,"水防工法・延べ時間
（時間：分）","救助・誘導・水防件数",救助・誘導・出場人員,"救助・誘導・延べ時間（時間：分）","排水・水防件数",排水・出場人員,"排水・延べ時間（時間：分）","警戒・水防件数",警戒・出場人員,"警戒・延べ時間（時間：分）","その他・水防件数",その他・出場人員,"その他・延べ時間（時間：分）",使用車両等・計,使用車両等・車両,"使用車両等・ヘリコプター","使用車両等・救命ボート",使用資器材・土のう,使用資器材・その他,救助人員,誘導人員
平成29年, 111 ,4:40, 73 , 422 ,95:56, 13 , 156 ,14:55, 55 , 483 ,230:30, 297 , 295 , 2 , - , 565 , 85 , 12 , - ,241,-,-,942,10,5,6
平成30年, 84 ,11:20, 67 , 372 ,97:47, 94 , 716 ,118:32, 862 ," 5,775 ",729:00," 1,482 "," 1,482 ", - , - , 76 , 20 , 7 , 77 ,295,2,-,565,85,12,-
令和元年," 1,001 ",84:41, 95 , 494 ,93:56, 87 , 602 ,89:29, 998 ," 6,424 ",960:20," 1,482 "," 1,725 ", 1 , 2 , 747 , 88 , 42 , 144 ,1482,-,-,76,20,7,77
令和2年, - ,0:00, 2 , 7 ,2:17, - , - ,0:00, 4 , 20 ,0:00, 7 , 7 , - , - , - , - , - , - ,1725,1,2,747,88,42,144
令和3年, 19 ,2:32, 7 , 49 ,10:08, 2 , 18 ,2:25, 16 , 95 ,10:04, 34 , 34 , - , - , 20 , 10 , 2 , - ,7,-,-,-,-,-,-
特別区, 19 ,2:32, 4 , 36 ,5:32, 1 , 13 ,0:27, 4 , 31 ,4:15, 24 , 24 , - , - , 10 , 10 , 2 , - ,-,-,-,-,-,-,-
丸の内, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
麹町, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
神田, - , - , - , - , - , 1 , 13 , 0 , - , - , - , 3 , 3 , - , - , - , - , - , - ,-,-,-,-,-,-,-
京橋, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
日本橋, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
臨港, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
芝, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
麻布, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
赤坂, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
高輪, - , - , - , - , - , - , - , - , 1 , 10 , 0 , 2 , 2 , - , - , - , - , - , - ,-,-,-,-,-,-,-
品川, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
大井, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
荏原, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
大森, - , - , - , - , - , - , - , - , 1 , 9 , 0 , 2 , 2 , - , - , - , - , - , - ,-,-,-,-,-,-,-
田園調布, 19 , 0 , 1 , 9 , 0 , - , - , - , - , - , - , 7 , 7 , - , - , - , - , 2 , - ,-,-,-,-,-,-,-
蒲田, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
矢口, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
目黒, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
世田谷, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
玉川, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
成城, - , - , 1 , - , - , - , - , - , - , - , - , 1 , 1 , - , - , 10 , - , - , - ,-,-,-,-,-,-,-
渋谷, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
四谷, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
牛込, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
新宿, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
中野, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
野方, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
杉並, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
荻窪, - , - , - , - , - , - , - , - , 1 , 8 , 0 , 2 , 2 , - , - , - , - , - , - ,-,-,-,-,-,-,-
小石川, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
本郷, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
豊島, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
池袋, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
王子, - , - , 1 , 13 , 0 , - , - , - , - , - , - , 3 , 3 , - , - , - , 10 , - , - ,-,-,-,-,-,-,-
赤羽, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
滝野川, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
板橋, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
志村, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-,-
