"応援を受けた消防署",応援消防本部,件数・計,件数・普通応援,件数・特別応援,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,"従事・放水時間（分）
",出場人員・計,出場人員・従事,出場人員・不従事
平成29年,合計,388,387,1,626,426,104,38,58,151,296,1,14,33,"2,327",1118,1209
平成30年,合計,414,409,5,676,481,75,64,56,85,204,5,15,75,"2,538",749,"1,789"
令和元年,合計,491,487,4,883,573,163,75,72,130,327,108,107,464,"3,375",1459,"1,916"
令和2年,合計,363,354,9,622,426,65,72,59,137,314,8,48,260,"2,337",1106,"1,231"
令和3年,合計,392,383,9,697,465,83,68,81,136,285,6,26,299,"2,563","1,156",1407
田園調布,川崎市,7,7,0,8,8,0,0,0,0,0,0,0,0,39,0,39
蒲田,川崎市,11,11,0,12,12,0,0,0,1,2,0,0,0,48,8,40
矢口,川崎市,22,22,0,25,25,0,0,0,1,0,0,0,0,101,8,93
玉川,川崎市,9,9,0,14,13,0,0,1,1,3,1,8,3,57,13,44
成城,川崎市,1,1,0,5,1,1,3,0,1,0,0,0,0,18,18,0
赤羽,川口市,5,5,0,47,14,5,23,5,2,18,0,0,0,162,59,103
赤羽,戸田市,1,1,0,8,3,1,0,4,1,1,0,0,0,17,14,3
足立,草加八潮,44,44,0,54,48,3,0,3,4,1,1,3,64,183,33,150
西新井,川口市,9,9,0,9,9,0,0,0,9,9,0,0,0,36,36,0
金町,市川市,1,1,0,4,2,1,0,1,0,0,0,0,0,14,0,14
金町,草加八潮,7,7,0,7,7,0,0,0,0,0,0,0,0,18,0,21
金町,松戸市,17,17,0,66,28,7,14,17,2,0,0,0,0,216,58,158
?西,浦安市,14,12,2,22,15,4,2,1,1,5,0,0,0,81,17,64
?西,三郷市,5,5,0,5,5,0,0,0,1,1,1,8,52,17,3,14
小岩,市川市,15,12,3,33,15,4,0,14,3,0,0,0,0,117,42,75
志村,戸田市,18,18,0,18,18,0,0,0,0,18,0,0,0,60,0,60
志村,埼玉県南西部,8,8,0,8,8,0,0,0,0,0,0,0,0,32,0,32
光が丘,埼玉県南西部,9,9,0,14,9,3,1,1,2,4,0,0,0,53,15,38
石神井,埼玉県南西部,30,30,0,51,31,14,3,3,10,19,0,0,0,195,68,127
府中,稲城市,5,3,2,13,6,2,1,4,0,0,0,0,0,36,0,36
調布,稲城市,13,12,1,19,15,1,1,2,1,7,0,0,0,65,19,46
東村山,埼玉西部,10,10,0,10,10,0,0,0,1,1,0,0,0,36,4,32
狛江,川崎市,14,14,0,14,14,0,0,0,14,14,0,0,0,56,56,0
清瀬,埼玉県南西部,8,8,0,11,9,2,0,0,2,4,0,0,0,46,15,31
清瀬,埼玉西部,5,5,0,5,5,0,0,0,0,0,0,0,0,19,0,19
東久留米,埼玉県南西部,5,5,0,5,5,0,0,0,0,0,0,0,0,22,0,22
西東京,埼玉県南西部,5,5,0,5,5,0,0,0,0,0,0,0,0,24,0,24
八王子,相模原市,11,11,0,55,23,13,4,15,11,55,0,0,0,193,193,0
青梅,埼玉西部,5,5,0,5,5,0,0,0,0,0,0,0,0,22,0,22
町田,相模原市,35,35,0,60,49,3,3,5,35,48,0,0,0,253,190,63
町田,大和市,6,6,0,6,6,0,0,0,0,0,0,0,0,18,0,18
町田,横浜市,31,31,0,71,35,19,13,4,30,71,3,4,180,277,273,4
多摩,稲城市,2,1,1,3,2,0,0,1,2,3,0,0,0,11,11,0
多摩,川崎市,2,2,0,3,3,0,0,0,0,0,0,0,0,12,0,12
奥多摩,埼玉西部,1,1,0,1,1,0,0,0,1,1,0,3,0,3,3,0
奥多摩,大月市,1,1,0,1,1,0,0,0,0,0,0,0,0,3,0,3
