夏季順位,年月日,出場件数（件）,熱中症疑い（人）,最高気温（℃）
1,2018-07-23（月）,3382,熱中症疑い（411人）,39
2,2018-07ｰ22（日）,3124,熱中症疑い（365人）,35.6
3,2018-07ｰ21（土）,3092,熱中症疑い（339人）,34.9
4,2019-08ｰ03（土）,3058,熱中症疑い（322人）,33.7
5,2018-08ｰ03（金）,3046,熱中症疑い（248人）,35.4
