消防署,出場・従事件数・計出場,出場・従事件数・計従事,出場・従事件数・火災・出場,出場・従事件数・火災・従事,出場・従事件数・交通・出場,出場・従事件数・交通・従事,出場・従事件数・水難・出場,出場・従事件数・水難・従事,出場・従事件数・機械・出場,出場・従事件数・機械・従事,出場・従事件数・工作物建物・出場,出場・従事件数・工作物建物・従事,出場・従事件数・崩壊・出場,出場・従事件数・崩壊・従事,出場・従事件数・墜落・出場,出場・従事件数・墜落・従事,出場・従事件数・ガス・出場,出場・従事件数・ガス・従事,出場・従事件数・電気・出場,出場・従事件数・電気・従事,出場・従事件数・山岳・出場,出場・従事件数・山岳・従事,出場・従事件数・爆発・出場,出場・従事件数・爆発・従事,出場・従事件数・その他・出場,出場・従事件数・その他・従事,救助人員・計・,救助人員・計・重症,救助人員・計・中等症,救助人員・計・軽症,救助人員・計・無症,救助人員・計・死亡,救助人員・誘導人員・,出場車両数誘導人員・計,誘導人員・計・ポンプ車,誘導人員・計・救助車,誘導人員・計・化学車,誘導人員・計・はしご車,誘導人員・計・救急車,誘導人員・計・照明車,"誘導人員・計・救出救助車、水難救助車、指揮統制車",誘導人員・計・ヘリコプター,誘導人員・計・消防艇,誘導人員・計・指揮隊車,誘導人員・計・その他,従事台数,出場人員,従事人員
矢口,194,154,0,0,22,19,6,3,0,0,158,127,0,0,4,3,0,0,0,0,0,0,0,0,4,2,144,20,53,33,14,24,0,650,163,99,61,0,194,2,7,0,2,118,4,363,"2,718","1,491"
目黒,387,276,4,4,64,53,0,0,4,2,298,208,0,0,6,2,1,1,0,0,0,0,0,0,10,6,298,38,91,95,47,27,3,"1,292",436,202,15,4,388,0,0,0,0,238,9,596,"5,431","2,590"
世田谷,665,438,4,4,104,88,1,1,1,0,532,334,0,0,5,0,1,1,0,0,0,0,0,0,17,10,469,69,120,155,53,72,7,"2,145",650,325,93,5,677,0,4,2,0,368,21,951,"8,720","3,848"
玉川,330,253,2,2,76,66,1,1,0,0,235,176,0,0,5,2,0,0,0,0,0,0,0,0,11,6,271,33,90,102,32,14,2,981,375,113,6,2,339,0,3,1,0,130,12,566,"3,844","2,166"
成城,383,258,3,3,43,34,0,0,1,0,311,205,0,0,3,0,2,2,0,0,0,0,0,0,20,14,271,56,70,61,42,42,0,"1,311",448,197,1,3,406,0,3,0,0,236,17,530,"5,309","2,155"
渋谷,536,404,1,1,147,141,0,0,3,3,347,234,0,0,17,13,0,0,0,0,0,0,0,0,21,12,456,43,110,205,56,42,20,"1,780",651,239,4,6,563,0,0,0,0,279,38,934,"7,365","3,879"
四谷,114,67,0,0,19,16,0,0,0,0,86,48,0,0,4,1,0,0,0,0,0,0,0,0,5,2,59,7,23,13,10,6,0,378,126,63,0,3,114,0,0,0,0,71,1,149,"1,570",639
牛込,191,127,0,0,11,7,0,0,1,1,169,112,0,0,1,1,1,0,0,0,0,0,0,0,8,6,127,18,45,20,26,18,0,631,195,118,0,0,187,0,0,0,0,130,1,253,"2,738",1149
新宿,523,302,1,1,80,68,0,0,1,1,388,213,0,0,35,5,5,4,0,0,0,0,0,0,13,10,332,36,92,76,77,51,0,"1,837",615,327,0,1,532,0,2,1,0,327,32,685,"7,941","3,114"
中野,287,195,1,1,24,22,0,0,0,0,249,163,2,2,5,2,0,0,0,0,0,0,0,0,6,5,193,28,68,47,20,30,0,949,316,159,0,1,290,0,0,0,0,177,6,449,"4,032","1,934"
野方,304,199,4,4,18,14,0,0,0,0,270,176,0,0,5,2,2,2,0,0,0,0,0,0,5,1,194,27,61,38,28,40,1,1101,302,177,68,3,314,0,6,0,0,203,28,478,"4,467","2,020"
杉並,545,270,3,3,97,89,0,0,1,1,405,157,1,1,8,2,4,3,0,0,0,0,0,0,26,14,318,33,77,123,43,42,2,"1,784",614,257,1,6,579,0,3,0,0,305,19,572,"7,158","2,438"
荻窪,358,260,0,0,56,52,1,1,0,0,286,198,0,0,4,2,1,0,0,0,0,0,0,0,10,7,319,22,96,118,47,36,0,"1,162",283,165,102,20,372,0,1,0,0,212,7,543,"4,740","2,344"
小石川,205,156,1,1,25,21,0,0,2,2,170,128,0,0,3,2,0,0,0,0,0,0,0,0,4,2,155,17,66,34,19,19,2,682,234,104,0,3,212,0,1,0,0,124,4,373,"2,795","1,534"
本郷,152,111,1,1,13,12,0,0,1,0,132,97,0,0,4,1,0,0,0,0,0,0,0,0,1,,117,25,42,21,11,18,4,517,176,87,0,2,153,0,0,0,0,95,4,292,"2,151",1220
豊島,284,186,1,1,40,34,0,0,4,2,223,140,0,0,9,3,0,0,0,0,0,0,0,0,7,6,186,35,63,39,21,28,1,931,323,144,0,2,287,0,0,0,0,171,4,426,"3,891","1,812"
池袋,282,146,2,2,47,41,0,0,3,1,220,97,0,0,4,1,0,0,1,1,0,0,0,0,5,3,171,17,30,54,44,26,0,958,340,147,0,3,292,1,0,0,0,167,8,373,"4,035","1,653"
王子,235,162,1,1,28,25,1,1,0,0,198,130,0,0,1,0,0,0,0,0,0,0,0,0,6,5,180,19,61,41,33,26,0,823,236,135,27,6,244,0,3,0,0,168,4,358,"3,442","1,568"
赤羽,289,203,2,2,25,22,10,7,1,1,239,166,0,0,2,1,1,1,0,0,0,0,0,0,9,3,185,26,54,39,24,42,2,1089,296,180,58,2,296,1,20,1,14,212,9,491,"4,634","2,138"
滝野川,142,92,1,1,10,9,1,0,0,0,126,80,0,0,3,1,0,0,0,0,0,0,0,0,1,1,97,18,26,25,12,16,0,501,173,88,2,1,142,1,1,0,0,89,4,241,"2,064",1002
板橋,392,272,2,2,57,53,1,1,2,0,310,201,0,0,5,2,5,5,0,0,0,0,0,0,10,8,299,39,88,79,42,51,0,"1,348",372,214,95,2,407,0,0,0,0,244,14,652,"5,705","2,788"
志村,807,584,2,2,89,81,8,5,1,1,677,475,2,1,9,6,1,1,0,0,0,0,0,0,18,12,613,79,230,146,60,98,1,"2,693",604,433,306,4,832,4,16,2,11,465,16,"1,040","10,981","4,470"
練馬,390,279,2,2,41,39,0,0,5,2,330,232,0,0,4,1,1,1,0,0,0,0,0,0,7,2,271,38,86,66,22,59,0,1320,318,223,120,3,397,0,1,0,0,245,13,642,"5,426","2,735"
光が丘,265,198,2,2,30,26,0,0,1,1,223,162,0,0,1,1,3,2,0,0,0,0,0,0,5,4,210,34,75,48,29,24,0,847,297,123,0,3,268,0,0,0,0,150,6,440,"3,517","1,867"
石神井,532,378,2,2,45,34,2,2,6,3,462,325,0,0,3,1,2,2,0,0,0,0,0,0,10,9,352,59,129,82,37,45,0,"1,628",563,248,4,4,528,1,3,0,0,266,11,787,"6,703","3,324"
上野,223,143,1,1,31,28,0,0,2,1,170,102,0,0,10,5,0,0,0,0,0,0,0,0,9,6,157,23,37,58,13,26,0,729,255,108,1,4,234,0,0,0,0,121,6,347,"3,154","1,522"
浅草,120,83,0,0,5,4,2,1,3,1,99,73,0,0,3,2,0,0,0,0,0,0,0,0,8,2,81,19,31,16,5,10,0,402,137,66,0,0,116,1,0,0,4,73,5,199,"1,781",890
日本堤,140,89,4,4,3,3,6,5,1,1,115,70,0,0,4,3,1,1,0,0,0,0,0,0,6,2,87,23,18,17,15,14,1,556,193,81,2,4,147,2,4,0,15,100,8,254,"2,394","1,130"
荒川,225,181,2,2,23,23,3,2,0,0,186,151,0,0,3,1,0,0,0,0,0,0,0,0,8,2,179,24,69,37,10,39,2,792,254,124,20,2,232,1,4,0,5,134,16,430,"3,334","1,855"
尾久,163,126,1,1,4,3,2,0,0,0,147,116,0,0,2,1,0,0,0,0,0,0,0,0,7,5,128,23,43,27,8,27,0,554,119,84,74,1,166,1,5,1,2,96,5,289,"2,374",1232
千住,242,185,0,0,45,39,11,6,0,0,177,134,0,0,3,3,1,1,0,0,0,0,0,0,5,2,202,27,51,65,28,31,0,971,259,121,23,1,251,7,15,0,11,146,137,504,"3,694","1,879"
足立,716,549,1,1,90,76,10,9,1,1,578,436,0,0,7,5,0,0,0,0,0,0,0,0,29,21,427,104,159,149,0,15,0,"2,192",664,358,130,1,743,5,17,0,4,261,9,993,"8,758","4,116"
西新井,416,294,2,2,53,46,6,4,4,2,336,234,0,0,2,0,0,0,0,0,0,0,0,0,13,6,315,49,84,83,42,57,1,"1,381",469,214,14,3,432,1,8,0,4,229,7,617,"5,630","2,528"
本所,293,169,0,0,48,39,7,3,4,3,219,119,1,1,0,0,0,0,0,0,0,0,0,0,14,4,200,38,59,55,25,23,0,944,325,131,6,2,290,3,1,0,18,154,14,337,"4,003","1,504"
向島,244,132,2,2,32,23,4,2,0,0,200,102,0,0,1,1,1,0,0,0,0,0,0,0,4,2,130,25,28,43,13,21,5,799,185,107,101,4,252,0,4,0,5,136,5,334,"3,226","1,366"
深川,465,329,1,1,100,91,9,5,2,2,322,216,0,0,10,3,2,2,0,0,0,0,0,0,19,9,364,68,128,108,27,33,0,"1,643",467,234,84,6,497,7,3,0,37,275,33,868,"6,776","3,491"
城東,494,374,3,3,78,68,3,2,5,5,388,286,1,1,2,0,0,0,0,0,0,0,0,0,14,9,418,56,123,117,58,64,0,"1,677",381,273,188,6,511,2,0,0,10,290,16,827,"6,841","3,397"
本田,610,474,1,1,71,65,8,4,3,1,498,389,0,0,3,1,1,1,0,0,0,0,0,0,25,12,500,83,151,128,57,81,1,"1,978",564,277,140,3,623,7,22,0,4,295,43,1062,"8,042","4,177"
金町,365,293,2,2,37,32,7,2,1,1,306,251,0,0,4,1,0,0,0,0,0,0,0,0,8,4,299,51,105,67,33,43,2,1203,191,176,231,5,380,1,14,1,4,193,7,729,"4,861","2,890"
江戸川,369,253,1,1,64,57,16,8,3,2,264,177,0,0,2,1,1,1,0,0,0,0,0,0,18,6,280,42,85,84,33,36,1,"1,261",276,188,171,1,373,3,23,0,17,200,9,644,"5,232","2,631"
葛西,364,244,5,5,61,55,9,4,5,2,260,169,0,0,6,1,2,2,0,0,0,0,0,0,16,6,274,42,92,73,39,28,9,"1,300",361,200,90,5,376,3,14,1,17,218,15,616,"5,256","2,437"
小岩,346,272,1,1,28,24,5,5,0,0,302,233,0,0,1,1,2,2,0,0,0,0,0,0,7,6,275,58,91,59,24,43,0,1092,325,166,47,2,350,0,3,0,8,187,4,630,"4,400","2,488"
受託地区,"7,508",5438,34,34,935,806,49,42,29,15,"5,885",4148,9,8,68,42,33,31,0,0,171,128,0,0,295,184,"5,717",939,"1,957","1,536",559,726,6,"23,151","7,516","1,285","1,331",49,"7,871",9,60,73,1,"4,271",685,"11,993","93,243","49,881"
立川,538,375,3,3,46,37,2,2,2,1,464,319,0,0,5,2,3,3,0,0,0,0,0,0,13,8,360,71,158,54,32,45,0,"1,561",603,96,4,3,543,0,1,0,0,306,5,760,"6,434","3,219"
武蔵野,229,146,2,2,9,7,1,1,2,2,207,129,1,0,1,0,3,3,0,0,0,0,0,0,3,2,164,29,54,23,24,34,0,723,195,46,78,3,241,0,1,1,0,148,10,318,"2,940","1,371"
三鷹,300,223,4,4,29,27,2,2,1,1,248,179,0,0,3,1,1,1,0,0,0,0,0,0,12,8,236,35,76,60,31,34,1,870,346,37,6,4,309,0,2,0,0,162,4,456,"3,413","1,874"
府中,394,271,3,3,52,47,4,4,1,1,311,201,0,0,3,2,4,4,0,0,0,0,0,0,16,9,296,50,103,81,24,38,0,"1,201",375,77,110,3,399,1,4,1,0,216,15,644,"4,712","2,550"
昭島,256,189,0,0,41,30,2,2,2,2,195,141,0,0,1,1,0,0,0,0,0,0,0,0,15,13,190,36,63,54,14,23,0,751,277,55,2,0,257,0,2,1,0,155,2,444,"3,116","1,829"
調布,370,270,2,2,51,49,6,5,0,0,297,205,1,1,3,1,0,0,0,0,0,0,0,0,10,7,289,41,88,92,31,37,1,"1,095",325,56,112,2,386,0,6,1,0,201,6,620,"4,321","2,422"
小金井,185,129,2,2,19,12,0,0,0,0,162,113,0,0,0,0,1,1,0,0,0,0,0,0,1,1,139,28,48,37,10,16,1,533,217,25,0,2,191,0,0,0,0,94,4,258,"2,116",1099
小平,329,238,0,0,25,20,1,1,1,0,287,209,0,0,4,2,1,1,0,0,0,0,0,0,10,5,201,41,85,54,13,8,0,925,353,47,1,0,335,0,0,0,0,183,6,469,"3,651","1,926"
東村山,278,196,0,0,15,14,0,0,0,0,250,172,0,0,3,3,1,1,0,0,0,0,0,0,9,6,192,40,72,41,15,24,0,801,304,48,0,0,278,0,0,0,0,169,2,393,"3,263","1,652"
国分寺,157,103,2,2,13,11,0,0,0,0,137,86,0,0,1,1,1,1,0,0,0,0,0,0,3,2,109,14,32,34,16,13,1,478,186,21,1,2,165,0,1,0,0,98,4,222,"1,886",879
狛江,123,77,1,1,5,4,2,2,0,0,108,68,0,0,0,0,1,1,0,0,0,0,0,0,6,1,72,13,27,17,2,13,1,372,141,23,2,1,125,0,2,0,0,76,2,178,"1,517",710
北多摩西部,314,220,2,2,23,19,2,1,4,2,267,186,1,1,3,0,2,2,0,0,0,0,0,0,10,7,217,47,68,46,25,31,1,931,276,58,81,3,326,1,1,1,0,177,7,465,"3,846","1,928"
清瀬,135,97,0,0,16,14,0,0,0,0,116,81,0,0,1,0,0,0,0,0,0,0,0,0,2,2,76,16,28,25,4,3,0,388,140,18,0,0,136,0,0,0,0,94,0,214,"1,561",884
東久留米,202,161,2,2,10,9,1,0,1,1,183,145,1,1,0,0,1,1,0,0,0,0,0,0,3,2,158,27,63,16,20,32,0,625,238,35,0,3,207,0,3,1,0,130,8,412,"2,541","1,737"
西東京,383,282,0,0,28,25,0,0,1,0,344,251,0,0,0,0,1,1,0,0,0,0,0,0,9,5,291,48,110,77,28,28,0,993,398,45,0,0,391,0,0,0,0,155,4,474,"4,004","2,024"
八王子,"1,131",811,1,1,183,156,3,3,6,2,769,538,1,1,11,8,2,2,0,0,94,68,0,0,61,32,914,133,336,249,103,93,0,"3,627","1,200",218,167,7,"1,208",0,5,10,0,634,178,"1,705","14,252","7,109"
青梅,272,199,3,3,40,33,6,5,0,0,183,125,1,1,12,11,3,2,0,0,9,8,0,0,15,11,207,38,68,84,7,10,0,984,228,46,151,5,293,2,9,6,0,161,83,628,"3,803","2,401"
町田,724,539,1,1,88,74,2,1,2,2,593,437,1,1,3,1,2,2,0,0,1,1,0,0,31,19,599,88,174,175,51,111,0,"2,097",562,127,225,1,751,0,2,1,0,404,24,940,"8,310","3,977"
日野,286,200,1,1,23,20,2,2,2,0,245,168,1,1,1,1,0,0,0,0,0,0,0,0,11,7,211,37,86,38,18,32,0,863,235,52,87,2,292,0,2,0,0,185,8,435,"3,424","1,722"
福生,297,235,1,1,64,56,2,1,2,0,218,171,0,0,2,1,0,0,0,0,0,0,0,0,8,5,259,31,85,89,16,38,0,879,234,44,115,2,317,0,2,2,0,152,11,541,"3,529","2,202"
多摩,272,209,2,2,41,38,1,1,1,0,208,157,0,0,6,3,3,3,0,0,0,0,0,0,10,5,224,30,62,73,30,29,0,856,135,66,170,2,288,0,0,0,0,178,17,479,"3,468","2,066"
秋川,208,171,2,2,76,67,3,3,1,1,87,65,0,0,1,1,1,1,0,0,28,22,0,0,9,9,191,30,50,83,13,15,0,749,304,24,4,4,223,1,3,15,0,102,69,467,"3,032","1,927"
奥多摩,125,97,0,0,38,37,7,6,0,0,6,2,1,1,4,3,2,1,0,0,39,29,0,0,28,18,122,16,21,34,32,19,0,849,244,21,15,0,210,4,14,33,1,91,216,471,"4,104","2,373"
