月別,計,火災・小計,火災・従事・延焼阻止,火災・従事・充水,火災・従事・残火処理,火災・従事・警戒等,火災・不従事,水災・従事,水災・不従事,訓練・放水演習,訓練・その他,その他
平成29年度,"18,784",22,2,0,3,17,126,0,0,"6,152","3,729","8,755"
平成30年度,"16,939",14,2,0,4,8,72,1,12,"5,259","2,988","8,593"
令和元年度,"15,348",17,7,0,4,6,90,5,3,"5,367","2,729","7,137"
令和2年度,"10,039",13,3,0,1,9,109,0,0,781,"1,348","7,788"
令和3年度,"9,635",20,10,0,1,9,86,0,1,761,1664,7103
4月,932,0,0,0,0,0,4,0,0,89,212,627
5月,724,1,0,0,0,1,8,0,0,56,99,560
6月,730,0,0,0,0,0,3,0,0,33,120,574
7月,778,1,0,0,0,1,2,0,0,54,132,589
8月,752,0,0,0,0,0,6,0,0,33,123,590
9月,792,4,4,0,0,0,5,0,0,45,137,601
10月,846,0,0,0,0,0,8,0,0,94,179,565
11月,969,1,0,0,0,1,11,0,0,164,129,664
12月,885,3,0,0,0,3,6,0,0,65,119,692
1月,695,4,4,0,0,0,13,0,0,27,127,524
2月,696,3,2,0,0,1,2,0,1,29,131,530
3月,836,3,0,0,1,2,18,0,0,72,156,587
