年,救急搬送人員（人）,前年比（％）
29,18553 ,
30,19608 ,105.7 
元,19137 ,97.6 
2,16264 ,85.0 
3,15059 ,92.6 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
