用途,建物数,割合（％）
共同住宅等,"179,514",41.1
非特定用途複合,"75,776",17.3
特定用途複合,"64,502",14.8
事務所等,"44,113",10.1
その他（工場や学校など単独の用途）,"72,952",16.7
合計,"436,857",
