類別,計,製造所,貯蔵所・小計,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・小計,取扱所・給油,取扱所・第１種販売,取扱所・第２種販売,取扱所・移送,取扱所・一般
平成29年度末,"12,626",70,"7,941","1,748",366,"1,168","2,928",8,"1,552",171,"4,615","1,715",225,92,13,"2,570"
平成29年度末（島しょ）,441,-,313,23,104,16,57,1,56,56,128,65,-,-,11,52
平成30年度末,"12,599",68,"7,914","1,724",352,"1,165","2,958",7,"1,546",162,"4,617","1,690",216,91,12,"2,608"
平成30年度末（島しょ）,436,-,309,23,104,17,55,1,57,52,127,64,-,-,11,52
令和元年度末,"12,516",65,"7,819","1,695",345,"1,146","2,971",7,"1,497",158,"4,632","1,661",207,89,11,"2,664"
令和元年度末（島しょ）,432,-,303,20,104,17,55,1,55,51,129,64,-,-,10,55
平成2年度末,"12,492",64,"7,796","1,666",338,"1,141","2,970",10,"1,512",159,"4,632","1,639",197,87,11,"2,698"
平成2年度末（島しょ）,435,-,304,20,105,17,54,1,55,52,131,64,0,0,10,57
令和3年度末,12414,64,7759,1650,329,1151,2961,8,1510,150,4591,1613,189,86,11,2692
令和3年度末（島しょ）,432,-,302,19,105,17,54,1,57,49,130,63,0,0,10,57
5倍以下,4672,22,3492,935,57,615,971,8,856,50,1158,26,67,1,-,1064
5倍以下（島しょ）,124,-,97,8,12,8,27,1,29,12,27,7,-,-,-,20
5倍をこえ10倍以下,2652,19,1614,360,36,473,604,-,77,64,1019,114,48,2,-,855
5倍をこえ10倍以下（島しょ）,82,-,59,2,5,9,10,-,5,28,23,4,-,-,-,19
10倍をこえ50倍以下,2947,15,1659,303,81,63,951,-,231,30,1273,423,74,83,-,693
10倍をこえ50倍以下（島しょ）,85,-,61,6,23,-,11,-,14,7,24,11,-,-,-,13
50倍をこえ100倍以下,797,4,558,23,34,-,260,-,240,1,235,197,-,-,4,34
50倍をこえ100倍以下（島しょ）,66,-,33,3,15,-,5,-,9,1,33,27,-,-,4,2
100倍をこえ150倍以下,335,-,202,11,31,-,82,-,77,1,133,126,-,-,-,7
100倍をこえ150倍以下（島しょ）,37,-,26,-,26,-,-,-,-,-,11,10,-,-,-,1
150倍をこえ200倍以下,220,-,59,5,8,-,39,-,4,3,161,158,-,-,-,3
150倍をこえ200倍以下（島しょ）,6,-,1,-,-,-,-,-,-,1,5,4,-,-,-,1
"200倍をこえ1,000倍以下",729,3,135,12,46,-,51,-,25,1,591,565,-,-,4,22
"200倍をこえ1,000倍以下（島しょ）",23,-,18,-,17,-,1,-,-,-,5,-,-,-,4,1
"1,000倍をこえ5,000倍以下",39,1,21,1,17,-,3,-,-,-,17,4,-,-,2,11
"1,000倍をこえ5,000倍以下（島しょ）",9,-,7,-,7,-,-,-,-,-,2,-,-,-,2,-
"5,000倍をこえ10,000倍以下",17,-,16,-,16,-,-,-,-,-,1,-,-,-,-,1
"5,000倍をこえ10,000倍以下（島しょ）",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000倍をこえるもの",6,-,3,-,3,-,-,-,-,-,3,-,-,-,1,2
"10,000倍をこえるもの（島しょ）",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
