年,救急搬送人員（人）,,,,,
29,9642 ,,,,,
30,9490 ,,,,,
元,9275 ,,,,,
2,8781 ,,,,,
3,8936 ,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
