年別,住宅火災_計（件）,住宅火災_住宅（件）,住宅火災_共同住宅等（件）,飲食店（件）,事務所等（件）,物品販売店舗等（件）,工場・作業場（件）,ホテル・旅館等（件）,病院（件）,駅舎等（件）,学校（件）,建物から出火した火災(合計)（件）
24,1916,724,1192,295,144,116,101,17,19,32,37,3206
25,1777,680,1097,311,130,130,113,25,19,32,38,3127
26,1694,634,1060,296,123,113,84,33,13,22,27,2878
27,1675,615,1060,339,121,87,95,26,20,18,29,2827
28,1497,539,958,345,126,103,89,37,17,21,33,2681
29,1597,579,1018,318,151,110,84,36,24,14,31,2730
30,1484,539,945,330,142,94,90,19,21,16,40,2609
元,1543,583,960,368,175,112,85,30,20,20,51,2811
2,1553,564,989,244,155,116,64,21,27,27,25,2598
3,1617,600,1017,288,162,117,74,26,26,25,24,2720
前年比,64,36,28,44,7,1,10,5,-1,-2,-1,122
