区分,計,身体防護,出火防止,初期消火,通報連絡,避難,救出・救助,応急救護,その他の訓練等
訓練件数,"8,940",374,110,"1,975",470,924,105,"1,940","3,042"
参加人員,"650,559","39,169","10,254","102,820","12,819","170,468","9,813","78,372","226,844"
