救急隊名,件数（件）,1日平均（件）
大久保救急,3683,10.1
八王子第１救急,3644,10
江戸川第１救急,3487,9.6
王子救急,3423,9.4
八王子第２救急,3420,9.4
野方第１救急,3332,9.1
江戸川第２救急,3325,9.1
淵江救急,3277,9
葛西第１救急,3267,9
大島救急,3249,8.9
