科目,令和3年度（千円）,令和2年度（千円）,対前年増減（千円）,増減率 （％）
合計,248825623,252278859,-3453236,-1.368817036
消防費,248825376,252272376,-3447000,-1.366380281
消防費_消防管理費,198094876,197904971,189905,0.095957671
消防費_消防活動費,23368000,24096405,-728405,-3.022878309
消防費_消防団費,3900000,3927000,-27000,-0.687547746
消防費_退職手当及年金費,8394500,8539000,-144500,-1.692235625
消防費_建設費,15068000,17805000,-2737000,-15.37208649
諸支出金,247,6483,-6236,-
諸支出金_諸費,247,6483,-6236,-
