発火源,火災件数
合計,3935
電気を使用する道具・装置,1493
電気を使用する道具・装置_電熱器,242
電気を使用する道具・装置_電熱器_電気こんろ,16
電気を使用する道具・装置_電熱器_電気クッキングヒータ,18
電気を使用する道具・装置_電熱器_電気ポット,3
電気を使用する道具・装置_電熱器_電気ロースタ,2
電気を使用する道具・装置_電熱器_電気トースタ,22
電気を使用する道具・装置_電熱器_電気オーブン,3
電気を使用する道具・装置_電熱器_電気なべ,2
電気を使用する道具・装置_電熱器_電気コーヒー沸器,2
電気を使用する道具・装置_電熱器_電気湯（茶）沸器,5
電気を使用する道具・装置_電熱器_コーヒー焙煎器,1
電気を使用する道具・装置_電熱器_電気温水機,2
電気を使用する道具・装置_電熱器_電気フライヤ,2
電気を使用する道具・装置_電熱器_電気ストーブ,54
電気を使用する道具・装置_電熱器_温風機,11
電気を使用する道具・装置_電熱器_電気こたつ,3
電気を使用する道具・装置_電熱器_電気あんか,3
電気を使用する道具・装置_電熱器_カーペット類,10
電気を使用する道具・装置_電熱器_オイルヒータ,2
電気を使用する道具・装置_電熱器_電気足温器,4
電気を使用する道具・装置_電熱器_便所用温水温風機（洗浄含む）,3
電気を使用する道具・装置_電熱器_電気アイロン,2
電気を使用する道具・装置_電熱器_ヘアードライヤ,12
電気を使用する道具・装置_電熱器_鑑賞魚用ヒータ,3
電気を使用する道具・装置_電熱器_電気乾燥機,3
電気を使用する道具・装置_電熱器_サウナヒータ,5
電気を使用する道具・装置_電熱器_電気滅菌器　　　　　　　　　,1
電気を使用する道具・装置_電熱器_ラミネータ,2
電気を使用する道具・装置_電熱器_電気溶接器　　　　　　　　　,8
電気を使用する道具・装置_電熱器_投込湯沸器　　　　　　　　　,11
電気を使用する道具・装置_電熱器_電気恒温器　　　　　　　　　,5
電気を使用する道具・装置_電熱器_電気工業用炉　　　　　　　　,2
電気を使用する道具・装置_電熱器_電気切断器（レーザ等含む）,1
電気を使用する道具・装置_電熱器_熱風機（ホットエアガン）,2
電気を使用する道具・装置_電熱器_電気布団,1
電気を使用する道具・装置_電熱器_電気毛布,3
電気を使用する道具・装置_電熱器_電気治療マット　　　　　　　,1
電気を使用する道具・装置_電熱器_電気接着器　　　　　　　　　,1
電気を使用する道具・装置_電熱器_ホットプレート,3
電気を使用する道具・装置_電熱器_ハロゲンヒータ（厨房器具）,2
電気を使用する道具・装置_電熱器_小型電気炉　　　　　　　　　,1
電気を使用する道具・装置_電熱器_半田ごて　　　　　　　　　　,1
電気を使用する道具・装置_電熱器_電気温水循環器　　　　　　　,1
電気を使用する道具・装置_電熱器_マントルヒータ　　　　　　,1
電気を使用する道具・装置_電熱器_吸入器　　　　　　　　　　　,1
電気を使用する道具・装置_電熱器_電気パン焼器,1
電気を使用する道具・装置_電気機器,638
電気を使用する道具・装置_電気機器_電気冷蔵庫　　　　　　　　　,8
電気を使用する道具・装置_電気機器_電磁調理器　　　　　　　　　,36
電気を使用する道具・装置_電気機器_電子レンジ　　　　　　　　　,65
電気を使用する道具・装置_電気機器_換気扇　　　　　　　　　　　,5
電気を使用する道具・装置_電気機器_冷凍庫　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_冷蔵ショーケース　　　　　　,6
電気を使用する道具・装置_電気機器_冷凍ショーケース　　　　　　,1
電気を使用する道具・装置_電気機器_冷凍機　　　　　　　　　　　,3
電気を使用する道具・装置_電気機器_ジューサ　　　　,5
電気を使用する道具・装置_電気機器_電気温蔵庫,2
電気を使用する道具・装置_電気機器_扇風機　　　　　　　　　　　,8
電気を使用する道具・装置_電気機器_冷暖房機　　　　　　　　　　,16
電気を使用する道具・装置_電気機器_サーキュレータ　　　　　　,3
電気を使用する道具・装置_電気機器_空気清浄機　　　　　　　　　,3
電気を使用する道具・装置_電気機器_除湿機　　　　　　　　　　　,1
