夏季以外順位,年月日,出場件数（件）,最低気温（℃）
1,2019-01ｰ15（火）,2906,最低気温0.4
2,2019-12ｰ27（金）,2894,最低気温4.5
3,2018-01ｰ24（水）,2826,最低気温-1.8（積雪9㎝）
4,2014-12ｰ30（火）,2806,最低気温1.8
5,2016-12ｰ17（火）,2801,最低気温0
