年,救急搬送人員（人）,前年比（％）,,,
29,16268 ,,,,
30,16076 ,98.8,,,
元,16786 ,104.4,,,
2,14253 ,84.9,,,
3,13621,95.6,,,
,,,,,
,,,,,
,,,,,
,,,,,
