区分,許可・設置,許可・変更,完成検査・設置,完成検査・変更,"仮使用承認","譲渡引渡届",品名、数量の倍数変更届,廃止届,資料提出
計,252,652,272,574,469,66,129,336,1013
製造所,0,21,0,21,19,0,3,0,26
貯蔵所,152,140,134,114,41,40,87,158,237
貯蔵所_屋内貯蔵所,17,13,16,6,5,1,61,31,22
貯蔵所屋外タンク貯蔵所,11,6,14,8,4,1,4,19,11
貯蔵所屋内タンク貯蔵所,30,25,17,13,11,2,0,16,13
貯蔵所地下タンク貯蔵所,62,53,50,45,21,16,7,55,52
貯蔵所簡易タンク貯蔵所,0,0,1,0,0,0,0,0,0
貯蔵所移動タンク貯蔵所,32,43,36,42,0,20,14,30,139
貯蔵所屋外貯蔵所,0,0,0,0,0,-,1,7,0
取扱所_取扱所,100,491,138,439,409,26,39,178,750
取扱所_給油取扱所,11,243,7,214,201,14,8,32,546
取扱所_給油取扱所_営業用,4,214,4,190,186,11,6,25,524
取扱所_給油取扱所_自家用,7,29,3,24,15,3,2,7,22
取扱所_販売取扱所,0,0,0,0,0,0,2,6,0
取扱所_販売取扱所_第１種,0,0,0,0,0,0,2,5,0
取扱所_販売取扱所_第２種,0,0,0,0,0,0,0,1,0
取扱所_移送取扱所,0,2,0,2,0,0,0,0,0
取扱所_一般取扱所,89,246,131,223,208,12,29,140,204
