製造所等,対象物数(数）,百分率（％）
製造所,64,0.5
屋内貯蔵所,1650,13.3
屋外タンク貯蔵所,329,2.7
屋内タンク貯蔵所,1151,9.3
地下タンク貯蔵所,2961,23.9
簡易タンク貯蔵所,8,0.1
移動タンク貯蔵所,1510,12.2
屋外貯蔵所,150,1.2
給油取扱所,1613,13
販売取扱所,275,2.2
移送取扱所,11,0.1
一般取扱所,2692,21.7
合計,12414,100
