消防署,事業所,計,製造所,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・給油・営業用・自動車,取扱所・給油・営業用・その他,取扱所・給油・自家用・自動車,取扱所・給油・自家用・その他,取扱所・販売・第１種,取扱所・販売・第２種,取扱所・移送,取扱所・一般,危険物保安監督者,危険物取扱者,少量危険物貯蔵取扱所,指定可燃物貯蔵取扱所
平成29年度,"8,278","12,626",70,"1,748",366,"1,168","2,928",8,"1,552",171,"1,000",66,649,-,225,92,13,"2,570","7,080","25,777","27,090","5,910"
平成30年度,"8,220","12,599",68,"1,724",352,"1,165","2,958",7,"1,546",162,969,67,654,-,216,91,12,"2,608","6,887","26,123","27,334","5,965"
令和元年度,"8,034","12,516",65,"1,695",345,"1,146","2,971",7,"1,497",158,945,66,650,-,207,89,11,"2,664","6,806","25,603","27,388","6,004"
令和2年度,"7,919","12,492",64,"1,666",338,"1,141","2,970",10,"1,512",159,928,66,645,-,197,87,11,"2,698","6,688","25,172","27,502","6,032"
令和3年度,8,1510,150,907,68,638,-,189,86,11,2692,6653,24747,27514,6061,87,11,2698,6688,25172,27502,6032
特別区,3,953,60,581,38,400,-,168,71,1,1912,4053,16041,18506,4699,72,1,1919,4082,16316,18492,4699
丸の内,-,-,-,-,-,4,-,-,-,-,184,64,820,192,5,0,0,185,64,869,198,5
麹町,-,1,-,4,-,4,-,-,-,-,81,54,350,560,18,0,0,79,53,352,556,18
神田,-,-,-,9,-,2,-,10,-,-,41,47,163,200,19,0,0,40,47,162,197,19
京橋,-,-,-,5,-,-,-,1,-,-,71,24,571,368,21,0,0,68,24,577,358,20
日本橋,-,-,-,8,-,1,-,7,-,-,54,30,222,448,13,0,0,54,27,222,439,13
臨港,-,2,-,4,1,1,-,-,-,-,22,20,50,209,39,0,0,31,169,181,203,40
芝,-,-,1,10,1,5,-,1,-,-,138,58,208,695,80,0,0,138,60,213,686,79
麻布,-,1,-,7,-,3,-,-,-,-,29,28,73,136,6,0,0,25,28,81,136,6
赤坂,-,-,-,5,-,3,-,-,-,-,49,34,345,253,15,0,0,49,34,345,243,15
高輪,-,3,-,5,2,4,-,-,-,-,44,49,250,148,20,0,0,44,50,258,152,20
品川,-,2,-,7,-,7,-,5,3,-,65,101,276,530,56,3,0,64,95,280,530,55
大井,-,210,-,2,2,12,-,-,-,-,19,50,419,158,45,0,0,19,50,420,171,45
荏原,-,-,-,7,-,3,-,2,1,-,8,30,138,218,28,1,0,8,31,141,218,30
大森,-,18,4,24,1,29,-,2,1,-,56,196,779,457,264,1,0,57,202,797,453,262
田園調布,-,6,-,9,-,2,-,2,2,-,4,43,87,425,36,2,0,4,39,90,424,36
蒲田,-,46,6,13,20,9,-,4,4,1,54,268,436,442,55,4,1,53,267,432,441,56
