消防署,計,消火栓・小計,消火栓・公設・上水,消火栓・公設・工業水,消火栓・私設,防火水槽・貯水池等・小計,防火水槽・貯水池等・所管内・防火水槽・100m3以上,防火水槽・貯水池等・所管内・防火水槽・40m3以上,防火水槽・貯水池等・所管内・防火水槽・40m3未満,防火水槽・貯水池等・所管内・貯水池・100m3以上,防火水槽・貯水池等・所管内・貯水池・40m3以上,防火水槽・貯水池等・所管内・貯水池・40m3未満,防火水槽・貯水池等・所管内・受水槽・飲料用,防火水槽・貯水池等・所管内・受水槽・その他,防火水槽・貯水池等・所管外・防火水槽・100m3以上,防火水槽・貯水池等・所管外・防火水槽・40m3以上,防火水槽・貯水池等・所管外・防火水槽・40m3未満,防火水槽・貯水池等・所管外・貯水池・100m3以上,防火水槽・貯水池等・所管外・貯水池・40m3以上,防火水槽・貯水池等・所管外・貯水池・40m3未満,防火水槽・貯水池等・所管外・受水槽・飲料用,防火水槽・貯水池等・所管外・受水槽・その他,その他小計,プール,"河川／みぞ","池／ほり",海,井戸,その他
平成29年度,178184,134753,132872,750,1131,37669,3201,10318,357,6,7,6,26,22,2404,18007,708,97,101,39,1828,542,5762,2416,2544,350,438,11,3
平成30年度,178629,134942,133079,742,1121,37944,3183,10069,336,6,7,6,26,22,2463,18556,720,96,100,38,1787,529,5743,2400,2537,351,439,13,3
令和元年度,179008,135140,133340,737,1063,38188,3212,10324,350,6,7,6,24,23,2470,18548,721,94,105,38,1739,521,5680,2383,2481,349,451,13,3
令和2年度,179470,135344,133576,722,1046,38464,3216,10328,343,6,7,6,26,23,2507,18831,737,94,105,36,1682,517,5662,2367,2481,346,452,13,3
令和3年度,179016,134799,133766,0,1033,38563,3210,10300,339,6,7,5,25,23,2530,18986,732,93,104,36,1660,507,5654,2362,2479,343,453,14,3
特別区計,117398,88561,88184,0,377,24938,2594,4951,81,2,3,0,0,0,1975,13054,611,37,34,11,1176,409,3899,1480,1757,192,453,14,3
丸の内,367,214,197,0,17,121,5,11,0,0,0,0,0,0,39,16,0,0,0,0,10,40,32,1,7,24,0,0,0
麹町,706,472,465,0,7,194,9,39,1,0,0,0,0,0,38,80,0,0,0,1,9,17,40,12,13,15,0,0,0
神田,952,774,774,0,0,149,11,49,1,0,0,0,0,0,25,54,0,0,0,0,2,7,29,6,23,0,0,0,0
京橋,912,734,734,0,0,157,13,35,1,0,0,0,0,0,15,62,1,0,0,0,4,26,21,6,15,0,0,0,0
日本橋,872,718,718,0,0,118,8,58,0,0,0,0,0,0,19,31,0,0,0,0,2,0,36,6,30,0,0,0,0
臨港,495,259,259,0,0,139,3,14,0,0,0,0,0,0,18,88,6,2,0,0,5,3,97,12,22,0,63,0,0
芝,1327,937,936,0,1,309,10,48,0,0,0,0,0,0,57,154,4,0,0,0,7,29,81,8,7,4,62,0,0
麻布,780,615,614,0,1,144,11,40,0,0,0,0,0,0,19,63,0,0,0,0,8,3,21,9,10,2,0,0,0
赤坂,633,461,459,0,2,163,15,45,0,0,0,0,0,0,26,69,2,0,0,0,2,4,9,6,0,3,0,0,0
高輪,763,493,492,0,1,225,17,39,1,0,0,0,0,0,38,105,8,2,0,0,10,5,45,12,12,2,19,0,0
品川,1921,1005,1005,0,0,857,25,49,1,0,0,0,0,0,252,386,114,1,0,0,25,4,59,17,29,0,13,0,0
大井,1354,742,741,0,1,557,28,42,0,0,1,0,0,0,93,261,98,0,1,0,27,6,55,13,1,3,38,0,0
荏原,1483,966,963,0,3,496,39,48,1,0,0,0,0,0,64,220,118,0,0,0,5,1,21,19,0,2,0,0,0
大森,3092,2180,2179,0,1,793,74,94,0,0,0,0,0,0,39,518,10,2,0,0,25,31,119,33,46,3,37,0,0
田園調布,2384,1881,1881,0,0,429,57,71,0,0,0,0,0,0,12,275,4,0,0,0,9,1,74,26,36,12,0,0,0
蒲田,2179,1373,1318,0,55,720,50,57,0,0,0,0,0,0,23,538,12,0,0,0,37,3,86,29,56,0,1,0,0
矢口,1312,939,932,0,7,323,34,49,0,0,0,0,0,0,25,202,1,0,2,1,8,1,50,18,30,2,0,0,0
目黒,3193,2491,2487,0,4,650,75,117,2,0,0,0,0,0,70,356,5,3,1,0,11,10,52,39,5,6,0,0,2
世田谷,4948,3937,3927,0,10,947,112,156,1,1,0,0,0,0,52,587,13,1,2,0,13,9,64,62,0,2,0,0,0
玉川,3105,2383,2375,0,8,678,61,114,2,0,0,0,0,0,44,425,11,1,0,0,9,11,44,35,4,4,0,1,0
成城,3416,2614,2584,0,30,711,72,161,9,0,0,0,0,0,49,398,5,0,0,0,16,1,91,39,49,3,0,0,0
渋谷,3197,2318,2285,0,33,827,67,104,3,0,0,0,0,0,230,382,5,0,0,0,30,6,52,40,2,10,0,0,0
四谷,636,479,473,0,6,150,7,31,1,0,0,0,0,0,6,86,0,2,0,0,12,5,7,6,0,0,0,0,1
牛込,1106,810,799,0,11,267,12,69,0,0,0,0,0,0,22,138,3,0,0,0,22,1,29,19,5,5,0,0,0
新宿,2098,1643,1626,0,17,388,29,74,0,0,0,0,0,0,44,188,2,0,2,1,20,28,67,26,39,2,0,0,0
中野,1620,1256,1256,0,0,294,32,85,1,0,0,0,0,0,11,146,7,0,0,0,8,4,70,19,51,0,0,0,0
野方,2009,1675,1674,0,1,291,62,99,0,0,0,0,0,0,6,103,4,0,0,0,14,3,43,24,18,1,0,0,0
杉並,3621,2945,2942,0,3,562,123,216,1,1,0,0,0,0,19,184,5,0,0,0,10,3,114,43,63,5,0,3,0
荻窪,2879,2376,2376,0,0,430,95,192,6,0,0,0,0,0,9,111,5,0,0,0,6,6,73,34,32,6,0,1,0
小石川,1345,1013,1011,0,2,278,11,75,0,0,0,0,0,0,19,149,10,2,1,0,7,4,54,23,23,8,0,0,0
本郷,1152,893,873,0,20,245,12,74,0,0,0,0,0,0,15,114,4,0,0,0,16,10,14,12,0,2,0,0,0
豊島,1668,1285,1251,0,34,356,24,81,5,0,0,0,0,0,17,220,5,0,0,0,2,2,27,26,0,0,0,1,0
池袋,1464,1185,1185,0,0,255,29,67,0,0,0,0,0,0,16,133,2,0,0,0,6,2,24,24,0,0,0,0,0
王子,1229,916,906,0,10,272,34,49,4,0,0,0,0,0,11,145,3,0,0,1,23,2,41,25,14,1,0,1,0
赤羽,1583,1165,1148,0,17,361,31,75,0,0,1,0,0,0,13,187,7,2,0,1,40,4,57,26,30,1,0,0,0
滝野川,1205,970,970,0,0,217,21,58,10,0,0,0,0,0,10,94,4,0,2,1,15,2,18,17,0,0,0,1,0
板橋,2629,1890,1890,0,0,694,48,69,1,0,0,0,0,0,22,541,0,0,0,0,13,0,45,37,6,2,0,0,0
志村,4275,2984,2981,0,3,1214,79,155,0,0,0,0,0,0,27,879,11,2,9,1,49,2,77,50,22,5,0,0,0
練馬,3164,2615,2615,0,0,477,67,164,12,0,0,0,0,0,9,193,2,0,0,0,25,5,72,38,33,0,0,1,0
光が丘,1825,1449,1449,0,0,329,65,117,9,0,0,0,0,0,12,89,2,0,1,0,25,9,47,35,11,1,0,0,0
石神井,4134,3390,3378,0,12,638,169,269,2,0,0,0,0,0,13,152,1,0,0,0,32,0,106,52,47,6,0,1,0
上野,1243,1008,1008,0,0,208,20,64,0,0,0,0,0,0,14,80,3,2,0,1,13,11,27,13,0,14,0,0,0
浅草,789,615,615,0,0,157,7,37,0,0,0,0,0,0,3,96,8,0,0,0,6,0,17,10,7,0,0,0,0
日本堤,903,695,695,0,0,181,13,52,0,0,0,0,0,0,7,96,3,0,0,0,5,5,27,10,14,3,0,0,0
荒川,1576,1106,1105,0,1,444,26,87,1,0,0,0,0,0,38,253,17,0,1,0,17,4,26,22,3,0,0,1,0
尾久,1073,803,803,0,0,253,20,66,0,0,0,0,0,0,12,144,4,0,0,0,6,1,17,13,3,1,0,0,0
千住,1255,908,904,0,4,273,28,66,0,0,1,0,0,0,43,110,0,0,0,0,23,2,74,14,60,0,0,0,0
足立,4635,3730,3715,0,15,740,136,164,0,0,0,0,0,0,58,255,11,1,0,0,111,4,165,63,99,3,0,0,0
西新井,3226,2625,2625,0,0,546,105,168,1,0,0,0,0,0,30,178,4,0,1,0,42,17,55,39,12,1,0,3,0
本所,1907,1540,1540,0,0,308,17,70,0,0,0,0,0,0,16,179,2,0,0,0,14,10,59,20,36,3,0,0,0
向島,1623,1161,1152,0,9,402,40,56,1,0,0,0,0,0,31,238,11,1,1,0,17,6,60,22,37,1,0,0,0
深川,3102,1984,1975,0,9,795,77,80,0,0,0,0,0,0,66,469,14,0,6,1,68,14,323,40,105,10,168,0,0
