消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ・（１）,（六）・イ・（２）,（六）・イ・（３）,（六）・イ・（４）,（六）・ロ・（１）,（六）・ロ・（２）,（六）・ロ・（３）,（六）・ロ・（４）,（六）・ロ・（５）,（六）・ハ・（１）,（六）・ハ・（２）,（六）・ハ・（３）,（六）・ハ・（４）,（六）・ハ・（５）,（六）ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五・①,十五・②,十五・③,十六・イ,十六・ロ,十六の二,十六の三,十七
平成29年度,409038,147,61,54,552,12,201,106,7296,7765,2272,164512,346,562,675,1233,2061,13,4,32,310,764,33,2656,125,1325,1371,9010,411,160,406,606,4415,11040,65,2931,22,8614,2862,22706,16735,61069,73051,10,2,435
平成30年度,417109,148,56,56,524,14,197,102,7474,7828,2927,169204,301,498,697,1324,2097,12,4,32,343,800,33,2886,141,1430,1358,9037,437,159,384,615,4535,10940,66,2929,22,8637,2907,22693,17088,62115,73565,10,2,482
令和元年度,425621,161,60,56,499,14,189,104,7634,7853,3750,173031,293,425,703,1440,2168,12,4,34,368,787,30,3115,143,1553,1339,9100,450,157,363,627,4632,10941,67,2964,22,8942,2937,22829,17488,63351,74438,10,2,536
令和2年度,432909,165,56,56,466,14,184,99,7778,7912,4030,176949,298,390,704,1534,2243,12,4,34,398,780,31,3246,150,1679,1331,9092,451,158,336,626,4689,10955,67,2962,22,9145,2909,22983,17972,64090,75326,10,2,571
令和3年度,438801,168,60,53,434,14,179,92,7849,7963,4005,180770,301,352,708,1610,2309,12,4,33,424,783,31,3310,167,1818,1318,9082,454,159,321,636,4722,10899,75,2960,22,9243,18150,2901,23177,64702,75931,10,3,587
特別区,326604,110,34,40,311,10,146,67,5640,4696,3283,139987,193,225,406,976,1435,3,2,5,114,387,25,2008,72,931,771,5486,275,157,261,506,3466,6669,55,2145,12,5770,10575,1836,19753,53144,54249,10,3,355
丸の内,429,0,2,1,2,0,1,0,112,7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,7,0,3,29,28,45,153,4,0,1,10
麹町,2275,2,0,0,0,0,0,4,33,7,14,350,0,1,4,8,4,0,0,0,0,0,0,6,0,0,2,93,9,0,0,12,28,2,1,21,0,20,49,58,709,533,297,0,0,8
神田,5460,0,0,0,14,0,10,1,258,143,76,458,9,0,1,0,2,0,0,0,0,1,0,5,0,0,1,109,2,1,0,16,10,20,0,39,0,34,89,12,1768,1730,647,0,0,4
京橋,3890,0,0,1,0,0,3,6,160,96,75,487,1,4,1,5,2,0,0,0,0,0,0,4,0,0,1,7,2,0,1,12,13,16,0,41,0,26,69,16,911,1584,343,0,2,1
日本橋,4104,0,0,0,1,0,4,3,171,70,76,708,0,0,0,10,1,0,0,0,0,0,0,7,0,1,1,9,1,0,1,15,13,11,0,38,0,27,86,14,1393,1022,411,1,0,9
臨港,925,0,0,0,1,0,0,0,55,11,4,343,0,0,1,5,0,0,0,0,0,0,0,12,0,0,0,3,3,0,0,2,4,9,0,12,0,33,48,10,42,182,144,0,0,1
芝,4805,1,1,0,5,2,11,0,317,31,67,736,1,2,7,9,3,0,1,0,0,1,0,5,0,0,2,69,3,0,1,26,93,16,2,47,0,45,122,25,1149,1433,555,1,0,16
麻布,3538,2,0,1,0,0,2,0,140,28,35,1148,1,0,1,5,6,0,0,0,0,0,0,14,0,1,9,31,5,1,1,6,81,9,1,17,0,14,94,14,277,1152,441,0,0,1
赤坂,2862,2,0,1,1,0,3,4,100,57,36,533,3,3,0,2,0,0,0,0,0,0,0,9,0,0,5,14,5,0,0,7,43,4,2,10,0,3,123,22,417,1129,313,0,0,11
高輪,2413,0,0,0,1,0,0,1,71,16,16,941,3,0,2,2,6,0,0,0,0,0,0,20,0,2,8,91,6,0,0,4,58,28,0,18,0,53,159,44,207,360,280,0,0,16
品川,4659,1,1,2,6,0,1,2,74,33,49,1966,1,0,6,10,10,0,0,0,0,1,0,28,1,5,5,61,5,0,1,5,98,103,2,25,0,55,197,20,518,733,631,0,0,3
大井,3201,8,1,0,3,0,1,1,57,16,21,1537,1,0,5,10,8,0,0,0,2,2,1,14,0,9,5,31,2,0,1,3,19,56,0,50,0,49,135,23,183,385,562,0,0,0
荏原,5546,0,1,0,5,0,1,0,83,73,11,2795,4,2,3,12,7,0,0,0,0,7,0,31,0,3,7,90,2,0,5,12,53,60,0,12,0,29,122,14,122,867,1113,0,0,0
大森,8694,10,1,0,6,0,2,0,73,72,39,4220,4,2,11,35,45,0,0,1,3,6,0,41,2,19,22,77,11,0,3,8,76,543,0,79,0,309,473,59,360,858,1214,0,0,10
